deprecation_reason,description,forks,homepage,keywords,language,latest_download_url,latest_stable_release_number,latest_stable_release_published_at,license_normalized,licenses,name,normalized_licenses,package_manager_url,platform,rank,repository_url,stars,status
None,"A Python parser for alto XML files, for handling OCR outputs",0,https://github.com/envinorma/alto,['alto'],Python,None,0.0.5,2021-06-15T15:21:10.000Z,True,MIT license,alto-xml,['MIT'],https://pypi.org/project/alto-xml/,Pypi,7,https://github.com/envinorma/alto,2,None
None,Helper macros for Rusticata,5,https://github.com/rusticata/rusticata-macros,"['parser', 'serialize', 'nom']",Rust,https://crates.io/api/v1/crates/rusticata-macros/4.0.0/download,4.0.0,2021-09-02T14:32:24.527Z,True,MIT/Apache-2.0,rusticata-macros,"['MIT', 'Apache-2.0']",https://crates.io/crates/rusticata-macros/,Cargo,14,https://github.com/rusticata/rusticata-macros,4,None
None,an jinja2 extension to add a from_json filter,1,https://github.com/metwork-framework/jinja2_from_json_extension,"['autoreadme', 'integration-level-3']",Python,None,0.0.1,2021-09-28T11:00:58.000Z,True,BSD,jinja2-from-json-extension,['BSD-3-Clause'],https://pypi.org/project/jinja2-from-json-extension/,Pypi,6,https://github.com/metwork-framework/jinja2_from_json_extension,0,None
None,a wrapper around sudoc webservices,1,https://github.com/ezpaarse-project/node-sudoc#readme,"['sudoc', 'issn', 'isbn', 'ppn']",JavaScript,https://registry.npmjs.org/sudoc/-/sudoc-1.0.4.tgz,1.0.4,2016-02-18T17:12:08.635Z,False,MIT,sudoc,['MIT'],https://www.npmjs.com/package/sudoc,NPM,8,https://github.com/ezpaarse-project/node-sudoc,0,None
None,system,2,https://github.com/ISCPIF/freedsl,"['effects', 'free-monad', 'functional-programming', 'modularity', 'monad', 'monad-transformers', 'pure', 'scala']",Scala,https://repo1.maven.org/maven2/fr/iscpif/freedsl/system_2.11/0.12/system_2.11-0.12.jar,None,None,True,LGPL,fr.iscpif.freedsl:system_2.11,['Other'],https://repo1.maven.org/maven2/fr/iscpif/freedsl/system_2.11,Maven,7,https://github.com/ISCPIF/freedsl,34,None
None,opinionated python (structured) logging library built on structlog,1,https://github.com/metwork-framework/mflog,"['autoreadme', 'integration-level-3', 'library', 'logging', 'python2', 'python3', 'structlog']",Python,None,0.1.0,2021-01-07T09:59:21.000Z,True,BSD 3,mflog,['BSD-3-Clause-Attribution'],https://pypi.org/project/mflog/,Pypi,9,https://github.com/metwork-framework/mflog,2,None
None,udata customizations for data.gouv.fr,4,https://github.com/etalab/udata-front,"['udata', 'opendata', 'portal', 'etalab']",HTML,None,1.1.0,2021-10-12T08:46:27.000Z,True,LGPL,udata-front,['Other'],https://pypi.org/project/udata-front/,Pypi,7,https://github.com/etalab/udata-front,1,None
None,This package is a part of Ilos framework.,0,https://github.com/betagouv/ilos#readme,"['node', 'typescript', 'microservice']",TypeScript,https://registry.npmjs.org/@ilos/transport-redis/-/@ilos/transport-redis-0.3.1.tgz,0.3.1,2019-07-26T14:02:38.447Z,False,Apache-2.0,@ilos/transport-redis,['Apache-2.0'],https://www.npmjs.com/package/@ilos/transport-redis,NPM,9,https://github.com/betagouv/ilos,5,None
None,Interfaces des composants web de hornet-js,6,https://github.com/diplomatiegouvfr/hornet-js#readme,[],TypeScript,https://registry.npmjs.org/hornet-js-components/-/hornet-js-components-5.5.0-rc.4.tgz,5.4.1,2019-07-25T12:25:03.430Z,False,CECILL-2.1,hornet-js-components,['CECILL-2.1'],https://www.npmjs.com/package/hornet-js-components,NPM,11,https://github.com/diplomatiegouvfr/hornet-js,16,None
None,Trigram based algorithm for Addok.,0,https://github.com/addok/addok-trigrams,"['addok', 'geocoding']",Python,None,1.1.1,2018-07-19T09:14:41.000Z,False,WTFPL,addok-trigrams,['WTFPL'],https://pypi.org/project/addok-trigrams/,Pypi,8,https://github.com/addok/addok-trigrams,0,None
