nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,homepage,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
AD-permissions,ANSSI-FR,GitHub,https://github.com/ANSSI-FR/AD-permissions,Active Directory permissions (ACL/ACE) auditing tools,False,2012-07-04T09:18:18Z,2019-01-09T13:58:14Z,,113,17,Other,0,PHP,
xsvgen,ANSSI-FR,GitHub,https://github.com/ANSSI-FR/xsvgen,XML Schema Validator Generator,False,2013-05-21T12:36:23Z,2018-07-03T07:47:53Z,,10,1,Other,1,OCaml,
SysvolExplorer,ANSSI-FR,GitHub,https://github.com/ANSSI-FR/SysvolExplorer,Active Directory Group Policy analyzer,False,2014-04-10T13:11:12Z,2019-01-11T08:23:53Z,,46,13,,0,C++,
AD-control-paths,ANSSI-FR,GitHub,https://github.com/ANSSI-FR/AD-control-paths,Active Directory Control Paths auditing and graphing tools,False,2014-07-07T15:26:43Z,2019-01-11T19:31:10Z,https://www.sstic.org/2014/presentation/chemins_de_controle_active_directory/,314,57,Other,1,C,
picon,ANSSI-FR,GitHub,https://github.com/ANSSI-FR/picon,Picon,False,2015-05-27T07:56:02Z,2018-07-03T12:31:02Z,,29,4,GNU Lesser General Public License v2.1,0,C,
tabi,ANSSI-FR,GitHub,https://github.com/ANSSI-FR/tabi,BGP Hijack Detection,False,2016-02-04T15:27:01Z,2018-12-10T07:11:07Z,,68,24,Other,3,Python,"bgp,classification,detection,hijack"
mabo,ANSSI-FR,GitHub,https://github.com/ANSSI-FR/mabo,MRT Parser,False,2016-02-04T15:27:23Z,2018-07-17T08:15:45Z,,39,6,Other,2,OCaml,"bgp,json,mrt,ocaml,parser"
OVALI,ANSSI-FR,GitHub,https://github.com/ANSSI-FR/OVALI,"Generic graph exploration, manipulation and visualization tool (Outil de Visualisation et Analyse de Liens Inter-objets)",False,2016-03-01T15:59:21Z,2018-10-14T20:24:14Z,,21,16,"BSD 3-Clause ""New"" or ""Revised"" License",2,JavaScript,
polichombr,ANSSI-FR,GitHub,https://github.com/ANSSI-FR/polichombr,Collaborative malware analysis framework,False,2016-05-31T18:54:28Z,2019-01-01T07:04:25Z,,243,47,Other,18,Python,"ida,ida-plugin,idapro,malware-analysis,malware-research,reverse-engineering,security-tools"
nogaxeh,ANSSI-FR,GitHub,https://github.com/ANSSI-FR/nogaxeh,Tools for analyzing hexagon code,False,2016-06-22T15:11:30Z,2018-04-20T01:37:53Z,,29,6,GNU General Public License v3.0,1,C++,
bmc-tools,ANSSI-FR,GitHub,https://github.com/ANSSI-FR/bmc-tools,RDP Bitmap Cache parser,False,2016-06-27T11:32:35Z,2019-01-11T23:21:57Z,,80,10,Other,2,Python,
