nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
pkgi,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/pkgi,Pkgi permet la création d'environnements applicatifs indépendants et mutualisés sous Debian.,False,2011-12-11T19:44:37Z,2017-11-09T19:27:05Z,http://www.pkgi.net,5,4,,2,PHP,
node-sphinxapi,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-sphinxapi,Native javascript implementation of the standard Sphinx API,False,2012-03-21T21:37:46Z,2019-03-27T20:14:54Z,https://www.npmjs.com/package/sphinxapi,77,21,Other,12,JavaScript,
node-xml-writer,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-xml-writer,Javascript implementation of the classic XMLWriter class,False,2012-03-27T19:34:41Z,2019-01-08T21:36:57Z,,54,23,Other,9,JavaScript,
node-xml-mapping,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-xml-mapping,Node Module to convert Memory structure to XML and vice versa,False,2012-03-27T19:35:25Z,2018-02-28T15:56:32Z,,39,16,Other,5,JavaScript,
node-xml-splitter,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-xml-splitter,,False,2012-04-27T21:21:05Z,2017-09-05T10:18:52Z,,9,5,Other,2,JavaScript,
node-atom-writer,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-atom-writer,,False,2012-06-27T07:46:30Z,2015-10-28T15:30:22Z,,6,3,Other,2,JavaScript,
node-json-writer,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-json-writer,,False,2012-07-03T07:01:25Z,2015-10-28T15:14:13Z,,1,1,Other,0,JavaScript,
node-xml2json-command,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-xml2json-command,"Convert an XML input to a JSON output, using xml-mapping",False,2012-11-15T15:39:07Z,2019-02-14T08:42:33Z,,151,10,,4,JavaScript,
node-csv-string,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-csv-string,CSV Strings & Streams for Javascript since 2012,False,2013-01-11T15:06:07Z,2019-04-02T17:05:21Z,,43,16,Other,2,JavaScript,
node-formatik,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-formatik,To validate associative arrays,False,2013-03-20T09:22:49Z,2015-10-28T15:29:06Z,,3,0,Other,0,JavaScript,
node-inotifywait,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-inotifywait,Yet another nodejs fs.watch/inotify implementation. Good for large directory structure with lot of files.,False,2013-07-06T19:29:06Z,2019-02-07T14:44:51Z,,23,9,MIT License,8,JavaScript,
node-monitor-pid,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-monitor-pid,Monitors a pid and all its sons with NodeJS,False,2013-10-21T09:10:41Z,2019-03-13T02:08:33Z,,10,2,MIT License,0,JavaScript,
log.io-server-parser,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/log.io-server-parser,Able to receive and parse messages from Log.io harvester.,False,2014-07-30T16:02:18Z,2016-01-20T19:44:44Z,,4,2,,0,JavaScript,
get-doctype,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/get-doctype,,False,2014-08-25T09:10:37Z,2016-10-15T09:23:55Z,,2,2,,0,JavaScript,
node-jbj,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-jbj,Like XSL/XML but for JSON.,False,2015-01-22T22:52:52Z,2018-12-13T00:10:59Z,http://Inist-CNRS.github.io/jbj-playground/,13,3,,8,JavaScript,
prettyTEI,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/prettyTEI,Some tools and styles for TEI,False,2015-03-19T09:05:19Z,2016-05-28T18:56:05Z,,4,1,MIT License,0,CSS,
MetHAL,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/MetHAL,NodeJS package used to request metadata from the HAL API,False,2015-06-02T09:15:20Z,2019-03-19T11:32:01Z,,2,1,,0,JavaScript,
meta-doi,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/meta-doi,Return crossref metadata from a DOI identifier (this module is deprecated),False,2015-07-30T12:29:02Z,2016-12-28T14:14:20Z,,1,2,,6,JavaScript,
node-elsevier,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-elsevier,Return metadata from a Elsevier PII identifier,False,2015-08-11T15:27:55Z,2016-07-25T07:05:50Z,,2,1,,3,JavaScript,
lodex-v1,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/lodex-v1,Linked Open Data EXperiment,False,2015-09-23T16:50:59Z,2018-12-03T13:39:14Z,http://lodex.inist.fr,4,1,Other,2,JavaScript,
ezark,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/ezark,Central registry for your organization's ARK sub-publishers,False,2015-10-01T20:23:05Z,2018-02-13T08:51:53Z,,3,1,,1,CSS,
node-jbj-nlp,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-jbj-nlp,Natural Language Processing JBJ module,False,2015-10-28T14:53:15Z,2016-05-25T15:38:25Z,,0,2,MIT License,0,JavaScript,
node-sudoc,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-sudoc,"A nodejs wrapper around sudoc web services (issn2ppn, isbn2ppn, ean2ppn)",False,2015-11-04T08:18:14Z,2016-07-25T07:09:20Z,,0,1,MIT License,0,JavaScript,
node-jbj-parse,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-jbj-parse,"JBJ parse module: file format conversion (csv, parseCSV, parseCSVFile, json, parseJSON, xml, parseXML)",False,2015-11-13T14:34:30Z,2016-03-17T14:49:10Z,,0,0,MIT License,0,JavaScript,
node-jbj-array,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-jbj-array,JBJ array module: complex actions implying arrays,False,2015-11-13T16:22:36Z,2016-03-08T16:38:35Z,,0,0,MIT License,0,JavaScript,
node-jbj-template,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-jbj-template,JBJ template module: advanced use of variables within strings,False,2015-11-17T13:15:40Z,2016-07-01T12:00:46Z,,0,0,MIT License,0,JavaScript,
node-jbj-command,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-jbj-command,JBJ command,False,2015-11-17T14:03:21Z,2016-02-12T14:38:23Z,,1,0,MIT License,0,JavaScript,
jbj-playground,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/jbj-playground,JBJ playground - test your stylesheets online,False,2015-11-18T08:49:18Z,2016-03-11T22:41:52Z,http://inist-cnrs.github.io/jbj-playground/,2,1,,3,,
node-jbj-ist,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-jbj-ist,JBJ IST module,False,2015-12-09T11:09:17Z,2016-09-16T12:23:09Z,,0,0,MIT License,0,JavaScript,
node-istex,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-istex,Un wrapper nodejs sur l'API ISTEX,False,2016-02-03T14:20:46Z,2019-04-01T13:42:37Z,,0,0,,0,JavaScript,
ghostscript-js,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/ghostscript-js,Just a nodeJS wrapper for ghostscript,False,2016-02-24T13:58:25Z,2018-12-05T16:03:33Z,,9,7,MIT License,0,CMake,ghostscript
octachore,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/octachore,Just another nodeJS wrapper for tesseract-ocr,False,2016-03-02T16:31:54Z,2016-09-28T11:20:15Z,,1,0,MIT License,0,JavaScript,
roadmapjs,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/roadmapjs,A nodejs/reactjs application parsing Trello roadmap boards and displaying a nice project roadmap as a visual vertical timeline.,False,2016-03-03T09:55:09Z,2017-08-01T12:16:04Z,,5,0,,0,JavaScript,
node-jbj-rdfa,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-jbj-rdfa,JBJ RDFa - JBJ module to generate HTML + RDFa,False,2016-03-21T15:10:31Z,2018-12-13T00:12:13Z,,1,0,MIT License,0,JavaScript,
ezmaster,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/ezmaster,Administration of docker applications without any IT skills,False,2016-04-05T09:34:56Z,2019-04-24T14:12:33Z,,12,3,MIT License,8,JavaScript,"backoffice,docker"
inist-tools,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/inist-tools,Outil permettant de faciliter le fonctionnement d’un poste Debian ou Ubuntu dans l'environnement INIST (proxy),False,2016-05-13T08:54:31Z,2017-12-17T20:40:07Z,,4,1,,3,Shell,
node-jbj-jsonld,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-jbj-jsonld,JBJ JSON-LD module,False,2016-05-19T09:45:51Z,2016-05-19T15:44:51Z,,0,0,MIT License,0,JavaScript,
text-quality-indicator,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/text-quality-indicator,"Return a quality indicator (in %) of any text, using dictionnary",False,2016-05-20T09:30:40Z,2018-06-06T15:58:22Z,,4,0,MIT License,0,JavaScript,
compose-workshop,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/compose-workshop,Atelier docker-compose pour la journée DevelopR6 / 2RCE du 2 juin 2006,False,2016-05-31T07:17:31Z,2016-06-12T20:55:52Z,,1,1,,0,JavaScript,
node-labintel,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/node-labintel,API written in NodeJS to query CNRS L@bintel,False,2016-06-07T18:38:32Z,2016-06-07T18:40:15Z,,0,0,MIT License,0,JavaScript,
