nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
Pogues,InseeFr,GitHub,https://github.com/InseeFr/Pogues,PoC for a questionnaire design and test tool,False,2015-03-02T18:33:41Z,2019-04-12T13:02:42Z,,10,5,MIT License,21,HTML,
Pogues-Model,InseeFr,GitHub,https://github.com/InseeFr/Pogues-Model,Classes and converters for the Pogues data model,False,2015-05-27T06:21:11Z,2019-02-28T16:06:10Z,,1,1,,7,Java,
Ontologies,InseeFr,GitHub,https://github.com/InseeFr/Ontologies,Vocabulaires RDF de l'INSE,False,2016-01-09T18:29:57Z,2018-04-26T14:50:17Z,,0,0,,0,,
Eno,InseeFr,GitHub,https://github.com/InseeFr/Eno,Questionnaire generator,False,2016-07-26T08:44:54Z,2019-04-16T08:35:48Z,,7,12,MIT License,38,XSLT,
Metadata-API,InseeFr,GitHub,https://github.com/InseeFr/Metadata-API,An API specification for accessing statistical metadata,False,2016-09-02T12:59:10Z,2019-04-16T09:29:20Z,,0,2,MIT License,0,Java,
CSPA-SA-Client,InseeFr,GitHub,https://github.com/InseeFr/CSPA-SA-Client,Web client for the CSPA Time Series Service,True,2016-10-07T07:48:35Z,2016-10-07T08:27:58Z,,0,0,,0,JavaScript,
Eno-WS,InseeFr,GitHub,https://github.com/InseeFr/Eno-WS,,False,2016-11-10T14:00:27Z,2018-10-30T15:29:53Z,,0,1,,0,Java,
Eno-CLI,InseeFr,GitHub,https://github.com/InseeFr/Eno-CLI,Command-line interface for Eno,False,2017-03-14T15:12:07Z,2017-03-15T10:42:27Z,,0,0,,0,Java,
Pogues-Back-Office,InseeFr,GitHub,https://github.com/InseeFr/Pogues-Back-Office,Back-office services for Pogues,False,2017-04-20T12:08:12Z,2019-02-15T15:32:09Z,,0,3,MIT License,2,HTML,
DDI-Access-Services,InseeFr,GitHub,https://github.com/InseeFr/DDI-Access-Services,Web services for accessing DDI metadata in Colectica,False,2017-10-04T07:06:52Z,2019-02-15T10:36:15Z,,0,4,MIT License,1,Java,
Bauhaus,InseeFr,GitHub,https://github.com/InseeFr/Bauhaus,"Web application for the management of concepts, classifications and other statistical objects",False,2018-03-23T12:12:41Z,2019-04-04T15:41:12Z,,0,4,MIT License,0,JavaScript,
Bauhaus-Back-Office,InseeFr,GitHub,https://github.com/InseeFr/Bauhaus-Back-Office,Back-office services for Bauhaus,False,2018-03-23T12:15:50Z,2019-04-10T07:01:38Z,,0,3,MIT License,0,Java,
Destinie-2,InseeFr,GitHub,https://github.com/InseeFr/Destinie-2,Modèle de microsimulation dynamique,False,2018-07-04T08:23:34Z,2018-10-10T08:33:50Z,,2,0,GNU General Public License v3.0,0,C++,
Mesange,InseeFr,GitHub,https://github.com/InseeFr/Mesange,Modèle macro-économique Mésange,False,2018-08-29T07:10:48Z,2019-01-30T19:32:58Z,,7,3,Other,0,,
Meleze,InseeFr,GitHub,https://github.com/InseeFr/Meleze,Modèle macro-économique Mélèze,False,2018-08-29T07:11:26Z,2019-04-14T13:11:14Z,,1,0,GNU General Public License v3.0,0,MATLAB,
Keycloak-FranceConnect,InseeFr,GitHub,https://github.com/InseeFr/Keycloak-FranceConnect,Extension Keycloak facilitant l'utilisation de FranceConnect,False,2018-11-15T14:36:52Z,2019-04-16T11:05:47Z,,3,0,MIT License,0,HTML,
Omphale,InseeFr,GitHub,https://github.com/InseeFr/Omphale,Modèle de projection démographique,False,2018-12-17T10:53:16Z,2019-03-27T10:06:08Z,,2,0,,1,Java,
Lunatic,InseeFr,GitHub,https://github.com/InseeFr/Lunatic,Library of questionnaire components,False,2019-02-11T14:08:30Z,2019-04-09T15:08:59Z,,0,0,MIT License,0,JavaScript,
Lunatic-Model,InseeFr,GitHub,https://github.com/InseeFr/Lunatic-Model,Data model for Lunatic,False,2019-02-11T16:56:43Z,2019-04-10T11:21:02Z,,0,1,MIT License,0,Java,
Quatro,InseeFr,GitHub,https://github.com/InseeFr/Quatro,React application to display web questionnaires,False,2019-02-26T14:19:19Z,2019-03-21T13:48:33Z,,0,0,MIT License,0,JavaScript,
