nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
CookieViz,LINCnil,GitHub,https://github.com/LINCnil/CookieViz,,False,2014-02-19T11:04:30Z,2019-03-03T17:54:19Z,,53,19,GNU General Public License v3.0,10,JavaScript,
Cookie-consent_Google-Analytics,LINCnil,GitHub,https://github.com/LINCnil/Cookie-consent_Google-Analytics,"Code pour mettre Google Analytics en conformité avec la législation française sur les cookies. Attention toutefois, cette version du code ne fonctionne qu'avec les anciennes versions de Google Analytics.",False,2014-05-19T14:24:06Z,2019-02-12T16:39:45Z,,37,24,Apache License 2.0,5,JavaScript,
cookieCuttr,LINCnil,GitHub,https://github.com/LINCnil/cookieCuttr,CookieCuttr - A tailorable jQuery plugin to deal with the EU Cookie Law,True,2014-06-03T20:33:14Z,2014-12-05T13:24:12Z,http://cookiecuttr.com,1,0,,0,JavaScript,
RGPD,LINCnil,GitHub,https://github.com/LINCnil/RGPD,Dataviz Règlement général pour la protection des données,False,2016-09-01T09:08:29Z,2018-07-11T09:31:32Z,,8,2,Other,1,Python,
encryption_infographics,LINCnil,GitHub,https://github.com/LINCnil/encryption_infographics,"You can traduce this infographic about ""encyption"" in your language",False,2016-11-10T15:33:50Z,2016-11-15T13:38:10Z,,1,0,,0,,
Phrase2passe,LINCnil,GitHub,https://github.com/LINCnil/Phrase2passe,,False,2017-01-27T09:43:20Z,2018-12-29T09:16:24Z,,4,1,GNU General Public License v3.0,0,JavaScript,
Hally-L-oracle-du-net,LINCnil,GitHub,https://github.com/LINCnil/Hally-L-oracle-du-net,"Cette extension vous permet de démystifier la magie des algorithmes et de comprendre comment fonctionnent les réseaux sociaux et les moteurs de recherche sur lesquels vous allez tous les jours. Installez-la et laissez l’Oracle vous montrer ce que fait Facebook de vos likes, Twitter de vos retweets et Google de vos requêtes.",False,2017-08-25T11:41:52Z,2018-04-26T15:28:36Z,,10,1,GNU General Public License v3.0,2,JavaScript,
dereferencement,LINCnil,GitHub,https://github.com/LINCnil/dereferencement,"Cette extension permet de déterminer si un lien apparaît ou non parmi l’ensemble des résultats d’un moteur de recherche, à la saisie de votre nom. ",False,2017-10-13T09:22:34Z,2019-03-01T17:01:53Z,,7,1,GNU General Public License v3.0,0,JavaScript,
Cabanon,LINCnil,GitHub,https://github.com/LINCnil/Cabanon,CabAnon vise à évaluer les performances de différentes techniques d’anonymisation sous la forme de dataviz interactives. Elles évaluent le « coût » de ces techniques en terme de potentiel d’utilisation de jeux de données anonymisées.,False,2017-11-02T17:11:36Z,2019-02-11T07:19:55Z,,3,1,GNU General Public License v3.0,2,JavaScript,"anonymisation,d3,datavisualization,react"
pia,LINCnil,GitHub,https://github.com/LINCnil/pia,Version web front office de l’application PIA à déployer sur un serveur afin d’en donner l’accès via un navigateur web | Front office of the PIA application to be deployed on a server in order to access it through a web browser.,False,2017-11-21T16:02:37Z,2019-05-06T08:07:40Z,,121,173,GNU General Public License v3.0,20,TypeScript,
pia-app,LINCnil,GitHub,https://github.com/LINCnil/pia-app,Exécutable permettant de lancer l’application (front office) PIA sur son ordinateur. C’est une version portable de l’outil PIA. | Executable to launch the PIA application on your computer. It is a stand-alone version of the PIA application.,False,2017-11-21T16:03:12Z,2019-05-05T17:56:00Z,,40,9,GNU General Public License v3.0,10,JavaScript,
pia-back,LINCnil,GitHub,https://github.com/LINCnil/pia-back,Programme développé avec le framework RubyOnRails mettant à disposition une API RESTful à destination des outils PIA et PIA-APP. | Program developped with RubyOnRails providing a RESTful API for the PIA and PIA-APP applications.,False,2017-11-21T16:11:52Z,2019-05-05T17:54:56Z,,70,35,GNU General Public License v3.0,9,Ruby,
tosback2,LINCnil,GitHub,https://github.com/LINCnil/tosback2,Reimplementing TOSBack with Ruby and using git to see TOS changes!,True,2018-02-21T08:45:26Z,2018-05-02T16:33:14Z,http://tosback.org,0,0,GNU General Public License v2.0,0,C,
CNIL-Cookies-List,LINCnil,GitHub,https://github.com/LINCnil/CNIL-Cookies-List,Cookies List est une extension Firefox permettant de lister les cookies enregistrés dans le navigateur.,False,2018-03-27T14:57:48Z,2018-06-06T09:15:19Z,,1,0,GNU General Public License v3.0,1,JavaScript,
