nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
WindowsAgent,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/WindowsAgent, OCS Inventory NG Agent for Windows,False,2015-06-01T13:10:03Z,2019-02-14T12:29:18Z,http://www.ocsinventory-ng.org/en/,66,40,Other,28,C++,"agent,deployment,inventory,ocs,ocs-deployment,ocs-inventory,windows"
OCSInventory-Server,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/OCSInventory-Server, Communication server of OCS Inventory,False,2015-06-01T16:09:52Z,2019-03-08T14:58:38Z,http://www.ocsinventory-ng.org/en/,131,63,GNU General Public License v2.0,28,Perl,"assets,assets-management,inventory,ocs,ocs-deployment,ocs-inventory,perl,server"
AndroidAgent,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/AndroidAgent,OCS Inventory NG Android Agent,False,2015-06-02T07:32:45Z,2019-02-19T01:43:55Z,http://www.ocsinventory-ng.org/en/,15,14,GNU General Public License v2.0,2,Java,"agent,android,deployment,inventory,ocs,ocs-deployment"
OCSInventory-ocsreports,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/OCSInventory-ocsreports,Webconsole for OCS Inventory NG,False,2015-06-02T09:28:21Z,2019-03-08T14:58:40Z,http://www.ocsinventory-ng.org/en/,99,82,GNU General Public License v2.0,58,PHP,"assets,assets-management,deployment,inventory,ocs,ocs-deployment,ocs-inventory,open-source,web-interface"
Macosx-Packager,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Macosx-Packager,It creates custom installation package to be able to deploy OCS Inventory NG MacOSX silently using Apple Remote Desktop or scripts,False,2015-06-02T10:19:39Z,2019-01-07T09:23:09Z,,4,4,GNU General Public License v2.0,1,Objective-C,
Agent-Deployment-Tool,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Agent-Deployment-Tool,Allows you to remote setup OCS Inventory NG agent on Windows and Unix/Linux/BSD computers,False,2015-06-02T10:23:45Z,2016-12-30T17:03:49Z,,3,7,GNU General Public License v3.0,2,C++,
Packager-for-Windows,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Packager-for-Windows,"The packager helps installing OCS Inventory NG Agent for Windows (or any windows application). It create an executable package including multiple files to install, and is able to run the installation process under the specified account having Administrative privileges.",False,2015-06-02T12:20:13Z,2019-02-05T22:38:52Z,,6,4,Other,4,NSIS,
UnixAgent,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/UnixAgent,This is the OCS unified agent for Unix operating systems,False,2015-06-02T13:29:00Z,2019-03-04T22:44:04Z,http://www.ocsinventory-ng.org/en/,39,50,GNU General Public License v2.0,12,Perl,"agent,deployment,ocs,ocs-deployment,ocs-inventory,ocsinventory,unix"
Ansible-Role-For-UnixAgent,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Ansible-Role-For-UnixAgent,An Ansible role for installing ocsinventory-agent | Thx to @franlr for his amazing contribution !,True,2016-04-21T09:45:28Z,2016-11-17T11:32:41Z,,1,2,Apache License 2.0,0,,
Wiki,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Wiki,Official repository for OCS Inventory documentaiton,False,2016-04-27T14:20:32Z,2019-03-08T14:58:36Z,https://wiki.ocsinventory-ng.org,9,13,GNU General Public License v2.0,5,,"documentation,installation,ocs-inventory,ocsinventory,wiki"
OCSInventory-Docker-Stack,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/OCSInventory-Docker-Stack,Docker stack for OCSInventory Server,False,2016-12-15T10:51:19Z,2019-03-08T14:58:34Z,,25,18,GNU General Public License v3.0,2,Shell,"assets,assets-management,docker-container,ocs,ocs-inventory,open-source,stack"
OCSInventory-Docker-Image,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/OCSInventory-Docker-Image,Docker image for OCSInventory Server,False,2017-02-15T15:10:37Z,2019-03-06T18:27:48Z,,18,24,GNU General Public License v3.0,4,Shell,"assets,assets-management,docker-image,inventory,ocs,ocs-inventory,open-source"
packages,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/packages,Where we put files used to create packages,False,2017-06-11T13:54:31Z,2018-04-16T12:17:26Z,,0,1,,0,Shell,
Packager-for-Unix,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Packager-for-Unix,This packager create a standalone executable for linux with configuration setup. The created packager doesn't require any modification or dependencies installation on the system which can be helpful depending on business security policy.,False,2017-11-10T15:51:15Z,2018-08-04T14:23:48Z,,1,3,GNU General Public License v3.0,2,Shell,
Ansible-Role-For-Unix-Packager,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Ansible-Role-For-Unix-Packager,An ansible role to deploy and run remotely the archive generated by Packager from Unix available here https://github.com/OCSInventory-NG/Packager-for-Unix,False,2017-11-23T08:17:13Z,2017-11-23T09:25:30Z,https://github.com/OCSInventory-NG/Packager-for-Unix,0,1,GNU General Public License v3.0,0,,
