nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,homepage,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
Qgis-plugin-templateLoader,PnCevennes,GitHub,https://github.com/PnCevennes/Qgis-plugin-templateLoader,,False,2014-08-27T16:39:05Z,2017-05-09T14:45:19Z,,0,2,,0,Python,
Applications_10.30,PnCevennes,GitHub,https://github.com/PnCevennes/Applications_10.30,,False,2014-08-28T13:38:41Z,2017-02-17T15:04:47Z,,0,0,,0,HTML,
qgis_python_script,PnCevennes,GitHub,https://github.com/PnCevennes/qgis_python_script,,False,2014-11-25T17:58:58Z,2014-11-25T18:03:26Z,,0,0,,0,Python,
angular_simple_map,PnCevennes,GitHub,https://github.com/PnCevennes/angular_simple_map,Petite application permettant d'afficher des cartes,False,2015-03-04T16:57:37Z,2016-11-24T08:27:31Z,,0,2,GNU General Public License v2.0,0,CSS,
projet_suivi,PnCevennes,GitHub,https://github.com/PnCevennes/projet_suivi,,False,2015-03-16T11:30:02Z,2018-03-22T08:56:10Z,,2,2,GNU General Public License v3.0,18,JavaScript,
docker,PnCevennes,GitHub,https://github.com/PnCevennes/docker,,False,2015-07-03T15:11:03Z,2018-11-14T16:23:59Z,,0,0,,0,Dockerfile,
Qgis-plugin-lineaireRepercussion,PnCevennes,GitHub,https://github.com/PnCevennes/Qgis-plugin-lineaireRepercussion,,False,2015-07-09T14:49:12Z,2015-07-09T14:58:30Z,,0,0,,0,Python,
ng-mapCreator-fp,PnCevennes,GitHub,https://github.com/PnCevennes/ng-mapCreator-fp,,False,2015-12-12T18:26:27Z,2016-01-28T09:02:26Z,,1,1,GNU General Public License v2.0,0,JavaScript,
obs_eau_calcul_debits,PnCevennes,GitHub,https://github.com/PnCevennes/obs_eau_calcul_debits,petit outil pour calculer le débit des cours d'eau,False,2016-01-08T10:24:36Z,2016-01-11T11:34:02Z,,0,0,,0,JavaScript,
signature_mails,PnCevennes,GitHub,https://github.com/PnCevennes/signature_mails,,False,2016-01-11T17:18:21Z,2016-01-12T09:31:05Z,,0,1,,0,HTML,
app_recrutement,PnCevennes,GitHub,https://github.com/PnCevennes/app_recrutement,,False,2016-05-27T15:28:09Z,2018-12-19T17:30:16Z,,0,0,,0,Python,
app_recrutement_client,PnCevennes,GitHub,https://github.com/PnCevennes/app_recrutement_client,,False,2016-05-30T10:17:15Z,2016-07-29T09:16:58Z,,0,0,,0,HTML,
porteconnaissance_pq,PnCevennes,GitHub,https://github.com/PnCevennes/porteconnaissance_pq,,False,2016-06-15T13:50:28Z,2016-06-15T17:12:09Z,,1,0,GNU General Public License v3.0,0,HTML,
SaisieChasse,PnCevennes,GitHub,https://github.com/PnCevennes/SaisieChasse,,False,2017-02-02T15:07:38Z,2017-02-02T15:18:47Z,,0,0,GNU General Public License v3.0,0,Python,
saisieFlore,PnCevennes,GitHub,https://github.com/PnCevennes/saisieFlore,Outil de saisie des protocoles flore du PnC,False,2017-02-17T14:54:18Z,2017-02-17T15:02:17Z,,0,0,GNU General Public License v3.0,0,HTML,
testAngular2,PnCevennes,GitHub,https://github.com/PnCevennes/testAngular2,,False,2017-05-18T10:31:52Z,2017-05-18T17:37:29Z,,1,0,GNU General Public License v3.0,0,JavaScript,
GeoNature-atlas,PnCevennes,GitHub,https://github.com/PnCevennes/GeoNature-atlas,Application WEB permettant de générer des fiches espèces publiques à partir d'observations faune/flore,True,2017-11-09T10:09:10Z,2017-11-09T10:09:12Z,,0,0,Other,0,JavaScript,
gn_module_suivi_chiro,PnCevennes,GitHub,https://github.com/PnCevennes/gn_module_suivi_chiro,,False,2018-03-16T16:41:26Z,2018-11-13T11:15:27Z,,5,2,GNU General Public License v2.0,6,Python,
projet_suivis_frontend,PnCevennes,GitHub,https://github.com/PnCevennes/projet_suivis_frontend,,False,2018-03-29T09:28:57Z,2018-10-19T07:41:04Z,,1,1,GNU General Public License v3.0,4,JavaScript,
courbes_eau,PnCevennes,GitHub,https://github.com/PnCevennes/courbes_eau,,False,2018-07-03T06:54:51Z,2018-07-25T10:04:10Z,,0,0,GNU General Public License v3.0,0,Vue,
tizoutis-front,PnCevennes,GitHub,https://github.com/PnCevennes/tizoutis-front,,False,2018-07-11T13:23:35Z,2018-12-19T17:28:35Z,,0,0,GNU General Public License v3.0,0,Vue,
demandes_autorisations,PnCevennes,GitHub,https://github.com/PnCevennes/demandes_autorisations,Visualisation des bilans concernant les autorisations demandées ,False,2018-08-29T07:17:22Z,2018-10-02T13:59:57Z,,0,0,GNU General Public License v3.0,0,HTML,
app_oeasc,PnCevennes,GitHub,https://github.com/PnCevennes/app_oeasc,,False,2018-08-29T16:39:08Z,2019-01-07T07:36:10Z,,0,0,GNU General Public License v3.0,0,HTML,
gn_module_suivi_oedic,PnCevennes,GitHub,https://github.com/PnCevennes/gn_module_suivi_oedic,module génonature pour le suivi des oedicnèmes criards (front projet_suivi),False,2018-11-19T14:47:04Z,2018-11-30T18:36:44Z,,0,0,GNU General Public License v2.0,0,Python,
