nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
GeoNature,PnX-SI,GitHub,https://github.com/PnX-SI/GeoNature,Application de saisie et de synthèse des observations faune et flore,False,2014-12-01T11:10:37Z,2019-04-01T11:21:56Z,,35,27,GNU General Public License v3.0,123,PLpgSQL,"angular,bluehats,fauna,flask,flora,javascript,leaflet,national-parks,nature,postgis,postgresql,python"
obs_occ,PnX-SI,GitHub,https://github.com/PnX-SI/obs_occ,"Observations occasionnelles. Application de saisie d'observations naturalistes (faune, flore, fonge)",False,2015-01-14T13:25:33Z,2018-10-12T08:31:05Z,,3,5,,43,HTML,
UsersHub,PnX-SI,GitHub,https://github.com/PnX-SI/UsersHub,Application web de gestion centralisée des utilisateurs,False,2015-01-28T17:12:50Z,2019-03-28T08:23:09Z,,5,10,GNU General Public License v3.0,20,Python,"bluehats,flask,national-parks,postgresql,python"
TaxHub,PnX-SI,GitHub,https://github.com/PnX-SI/TaxHub,Application de gestion des taxons,False,2015-04-03T07:42:31Z,2019-03-07T10:55:03Z,,9,7,GNU General Public License v3.0,42,HTML,"angular,fauna,flora,javascript,national-parks,python,taxonomy"
GeoNature-atlas,PnX-SI,GitHub,https://github.com/PnX-SI/GeoNature-atlas,Application WEB permettant de générer des fiches espèces publiques à partir d'observations faune/flore,False,2016-05-31T06:37:14Z,2019-04-18T08:29:35Z,,24,17,GNU General Public License v3.0,77,JavaScript,"bluehats,fauna,flask,flora,leaflet,national-parks,nature,postgis,postgresql,python"
UsersHub-authentification-module,PnX-SI,GitHub,https://github.com/PnX-SI/UsersHub-authentification-module,Module Flask d'authentification de UsersHub,False,2016-06-09T08:03:31Z,2019-02-27T10:01:27Z,,1,4,GNU General Public License v3.0,2,Python,
Nomenclature-api-module,PnX-SI,GitHub,https://github.com/PnX-SI/Nomenclature-api-module,Flask module for Nomenclature API,False,2017-08-22T14:11:19Z,2019-03-18T10:04:05Z,,0,2,GNU General Public License v3.0,8,PLpgSQL,
gn_module_validation,PnX-SI,GitHub,https://github.com/PnX-SI/gn_module_validation,Module de validation de GeoNature,False,2018-01-17T08:09:28Z,2018-09-01T11:10:44Z,,3,0,,16,Python,
gn_module_suivi_habitat_territoire,PnX-SI,GitHub,https://github.com/PnX-SI/gn_module_suivi_habitat_territoire,Module GeoNature de suivi des habitats sur un territoire,False,2018-03-15T14:58:28Z,2019-04-15T13:39:05Z,,4,2,GNU General Public License v3.0,1,TypeScript,"angular,flask,monitoring,national-parks,postgis,postgresql,python"
gn_module_export,PnX-SI,GitHub,https://github.com/PnX-SI/gn_module_export,Module GeoNature d'export,False,2018-03-15T17:38:50Z,2019-03-15T08:31:09Z,,4,0,GNU General Public License v3.0,17,,
GeoPaysages,PnX-SI,GitHub,https://github.com/PnX-SI/GeoPaysages,Application web permettant de publier un observatoire photographique des paysages,False,2018-04-24T08:23:36Z,2019-04-26T14:28:35Z,,3,3,GNU General Public License v3.0,10,TypeScript,"angular,bluehats,environment,flask,landscape,leaflet,national-parks,postgis,postgresql,python"
Ressources-techniques,PnX-SI,GitHub,https://github.com/PnX-SI/Ressources-techniques,Ressources techniques partagées des parcs nationaux,False,2018-05-04T21:10:33Z,2019-04-30T15:07:37Z,,3,3,,0,PLpgSQL,national-parks
gn_module_suivi_flore_territoire,PnX-SI,GitHub,https://github.com/PnX-SI/gn_module_suivi_flore_territoire,Module GeoNature Suivi flore territoire,False,2018-06-05T18:36:32Z,2019-01-26T13:04:00Z,,1,1,GNU General Public License v3.0,21,TypeScript,"angular,flask,flora,monitoring,national-parks,postgis,postgresql,python"
GeoNature-citizen,PnX-SI,GitHub,https://github.com/PnX-SI/GeoNature-citizen,Portail web d'inventaire citoyen de la biodiversité à destination du grand public,False,2018-06-23T14:17:01Z,2019-04-28T16:46:35Z,https://geonature-citizen.readthedocs.io,7,3,GNU Affero General Public License v3.0,46,Python,
gn_module_cmr,PnX-SI,GitHub,https://github.com/PnX-SI/gn_module_cmr,"Module GeoNature pour les protocoles utilisant la méthode de ""capture-marquage-recapture""",False,2018-09-18T12:19:35Z,2018-09-24T14:31:11Z,,0,1,,1,PLSQL,
gn_module_flore_prioritaire,PnX-SI,GitHub,https://github.com/PnX-SI/gn_module_flore_prioritaire,Module GeoNature Flore prioritaire,False,2018-10-15T08:53:35Z,2019-04-24T09:54:58Z,,2,0,GNU General Public License v3.0,3,CSS,
gn_module_suivi_habitat_station,PnX-SI,GitHub,https://github.com/PnX-SI/gn_module_suivi_habitat_station,Module GeoNature de suivi des habitats sur une station,False,2018-11-16T12:21:35Z,2019-01-14T10:04:40Z,,1,0,GNU General Public License v3.0,1,,
gn_module_import,PnX-SI,GitHub,https://github.com/PnX-SI/gn_module_import,Module GeoNature d'import de données,False,2018-12-20T08:57:50Z,2019-04-17T21:29:41Z,,0,0,GNU General Public License v3.0,8,,
GeoNature-R-package,PnX-SI,GitHub,https://github.com/PnX-SI/GeoNature-R-package,Package R pour la synthèse des données GeoNature,False,2019-01-08T14:26:20Z,2019-02-11T13:59:53Z,,1,1,GNU General Public License v3.0,4,,
gn_mobile_core,PnX-SI,GitHub,https://github.com/PnX-SI/gn_mobile_core,Module GeoNature de synchronisation mobile,False,2019-02-11T14:48:20Z,2019-02-13T12:32:05Z,,1,0,,2,,
gn_mobile_occtax,PnX-SI,GitHub,https://github.com/PnX-SI/gn_mobile_occtax,Application mobile pour la saisie dans le module Occtax de GeoNature,False,2019-02-11T15:28:12Z,2019-03-06T13:50:28Z,,1,0,GNU General Public License v3.0,5,,
gn_mobile_sft,PnX-SI,GitHub,https://github.com/PnX-SI/gn_mobile_sft,Application mobile du module GeoNature Suivi Flore Territoire,False,2019-03-06T13:48:17Z,2019-05-02T07:33:55Z,,0,0,GNU General Public License v3.0,0,TypeScript,
test_client_usershub_api,PnX-SI,GitHub,https://github.com/PnX-SI/test_client_usershub_api,Application permettant de tester les fonctionnalités de l'api de usershub,False,2019-03-21T14:48:47Z,2019-03-28T13:39:21Z,,0,0,GNU General Public License v3.0,0,HTML,
gn_module_dashboard,PnX-SI,GitHub,https://github.com/PnX-SI/gn_module_dashboard,Module GeoNature de tableau de bord,False,2019-04-04T09:17:48Z,2019-04-29T13:12:57Z,,0,0,GNU Affero General Public License v3.0,1,TypeScript,
virtualia,PnX-SI,GitHub,https://github.com/PnX-SI/virtualia,Script Python de connexion Virtualia,False,2019-04-11T12:22:08Z,2019-04-11T12:27:36Z,,0,0,,0,Python,
