nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
faq-code-du-travail,SocialGouv,GitHub,https://github.com/SocialGouv/faq-code-du-travail,FAQ Code du travail,False,2018-01-18T11:06:20Z,2019-02-26T14:33:15Z,https://socialgouv.github.io/faq-code-du-travail,1,2,Other,3,JavaScript,
annuaire-mjpm,SocialGouv,GitHub,https://github.com/SocialGouv/annuaire-mjpm,Annuaire des mandataires judiciaires à la protection des majeurs,False,2018-01-18T16:56:36Z,2018-01-18T17:01:13Z,,0,0,,1,JavaScript,
work-in-france,SocialGouv,GitHub,https://github.com/SocialGouv/work-in-france,La plateforme de demande d’autorisation provisoire de travail.,False,2018-01-26T14:12:08Z,2019-06-07T21:51:05Z,https://workinfrance.beta.gouv.fr/,4,5,Apache License 2.0,13,HTML,
eMJPM-homepage,SocialGouv,GitHub,https://github.com/SocialGouv/eMJPM-homepage,HomePage Le Bon Tuteur,False,2018-02-14T17:37:19Z,2019-01-08T16:20:49Z,https://emjpm.beta.gouv.fr/,0,0,,3,CSS,
tutoriel-gitlab,SocialGouv,GitHub,https://github.com/SocialGouv/tutoriel-gitlab,Tutoriel GitLab en Français,False,2018-02-26T16:28:24Z,2019-05-17T15:27:29Z,,7,9,,0,,"francais,git,gitlab,tutorial,tutoriel"
eMJPM-app,SocialGouv,GitHub,https://github.com/SocialGouv/eMJPM-app,Trouver rapidement le bon professionnel pour les majeurs à protéger,False,2018-02-28T12:41:08Z,2019-05-20T09:29:30Z,https://emjpm.beta.gouv.fr,1,1,Other,8,JavaScript,
code-du-travail-chatbot,SocialGouv,GitHub,https://github.com/SocialGouv/code-du-travail-chatbot,Prototype d'agent conversationnel pour le code du travail,False,2018-03-14T16:21:27Z,2019-01-07T11:45:51Z,,1,0,Apache License 2.0,1,JavaScript,
code-du-travail-data,SocialGouv,GitHub,https://github.com/SocialGouv/code-du-travail-data,Indexation des données du code du travail numérique,False,2018-03-20T10:45:48Z,2018-10-11T08:42:48Z,,0,2,Other,3,Python,
socialgouv.github.io,SocialGouv,GitHub,https://github.com/SocialGouv/socialgouv.github.io,Site de l'incubateur des Ministères sociaux,False,2018-03-28T08:16:33Z,2019-06-07T16:51:23Z,https://incubateur.social.gouv.fr/,3,4,Other,12,JavaScript,
eMJPM-api,SocialGouv,GitHub,https://github.com/SocialGouv/eMJPM-api,eMJPM website,False,2018-03-29T09:45:28Z,2019-05-20T09:30:27Z,https://emjpm.beta.gouv.fr,0,0,Other,8,JavaScript,
work-in-france-bo,SocialGouv,GitHub,https://github.com/SocialGouv/work-in-france-bo,Back office de la plateforme de demande d’autorisations provisoires de travail.,False,2018-03-30T15:01:45Z,2018-09-05T14:47:22Z,,2,0,Apache License 2.0,5,Python,
tps,SocialGouv,GitHub,https://github.com/SocialGouv/tps,demarches-simplifiees.fr,True,2018-04-04T07:49:51Z,2018-04-04T07:49:54Z,https://www.demarches-simplifiees.fr,0,0,,0,Ruby,
work-in-france-bo-public,SocialGouv,GitHub,https://github.com/SocialGouv/work-in-france-bo-public,Back office public de la plateforme de demande d’autorisations provisoires de travail.,False,2018-04-19T07:40:50Z,2019-03-14T17:45:33Z,,0,0,Apache License 2.0,1,JavaScript,
code-du-travail-numerique,SocialGouv,GitHub,https://github.com/SocialGouv/code-du-travail-numerique,Prototype Code du Travail Numérique,False,2018-04-26T08:37:10Z,2019-06-11T10:38:02Z,https://codedutravail-dev.num.social.gouv.fr,18,5,Other,133,JavaScript,
template.data.gouv.fr.react,SocialGouv,GitHub,https://github.com/SocialGouv/template.data.gouv.fr.react,Template data.gouv implementé en React + next.js,False,2018-05-22T07:52:06Z,2018-05-22T14:16:33Z,,0,0,Other,1,JavaScript,
