nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
addok,addok,GitHub,https://github.com/addok/addok,Search engine for address. Only address.,False,False,2014-12-29T21:07:46Z,2019-08-10T19:45:55Z,http://addok.readthedocs.org/,158,37,MIT License,97,Python,"address,search-engine",True,https://archive.softwareheritage.org/browse/origin/https://github.com/addok/addok/directory/
addok-france,addok,GitHub,https://github.com/addok/addok-france,Addok plugin for France addresses,False,False,2016-01-12T10:43:31Z,2019-05-13T08:33:48Z,,3,4,MIT License,4,Python,addok-plugin,True,https://archive.softwareheritage.org/browse/origin/https://github.com/addok/addok-france/directory/
addok-fr,addok,GitHub,https://github.com/addok/addok-fr,Addok plugin for addresses in French language,False,False,2016-01-12T14:43:55Z,2019-05-13T08:33:29Z,,3,4,MIT License,1,Python,addok-plugin,True,https://archive.softwareheritage.org/browse/origin/https://github.com/addok/addok-fr/directory/
addok-csv,addok,GitHub,https://github.com/addok/addok-csv,Addok plugin for handling CSV files,False,False,2016-01-12T14:50:57Z,2019-05-13T08:33:10Z,,1,2,MIT License,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/addok/addok-csv/directory/
addok-psql,addok,GitHub,https://github.com/addok/addok-psql,Import from PostgreSQL in addok,False,False,2016-01-12T17:07:00Z,2019-05-13T08:37:42Z,,0,2,MIT License,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/addok/addok-psql/directory/
addok-trigrams,addok,GitHub,https://github.com/addok/addok-trigrams,Trigrams based index for Addok.,False,False,2016-01-26T09:53:23Z,2019-05-13T08:38:54Z,,0,2,MIT License,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/addok/addok-trigrams/directory/
addok-geozones,addok,GitHub,https://github.com/addok/addok-geozones,Helpers to run a Geozones dedicated Addok instance.,False,False,2016-05-30T10:05:49Z,2019-05-13T08:34:28Z,,1,0,MIT License,2,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/addok/addok-geozones/directory/
addocker,addok,GitHub,https://github.com/addok/addocker,Run Addok in Docker,False,False,2016-08-09T15:44:28Z,2019-05-13T08:31:15Z,,5,7,MIT License,1,Shell,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/addok/addocker/directory/
addok-openaddresses,addok,GitHub,https://github.com/addok/addok-openaddresses,Helpers to import http://openaddresses.io data into Addok.,False,False,2016-09-13T19:00:55Z,2016-09-14T02:06:12Z,,1,1,,2,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/addok/addok-openaddresses/directory/
addok-sqlite-store,addok,GitHub,https://github.com/addok/addok-sqlite-store,Store documents in SQLite database,False,False,2017-01-25T15:15:03Z,2017-03-15T00:20:00Z,,1,4,,1,Python,addok-plugin,False,
addok-psql-store,addok,GitHub,https://github.com/addok/addok-psql-store,Store addok data in PostgreSQL.,False,False,2017-02-14T17:39:46Z,2017-04-19T15:27:08Z,,0,2,,1,Python,addok-plugin,False,
addok-idcc,addok,GitHub,https://github.com/addok/addok-idcc,Instance d'addok pour indexer des identifiants de convention collective,False,False,2018-05-22T17:51:58Z,2019-01-21T22:22:17Z,,3,1,,2,Python,"addok,addok-plugin",True,https://archive.softwareheritage.org/browse/origin/https://github.com/addok/addok-idcc/directory/
addok-usine,addok,GitHub,https://github.com/addok/addok-usine,An experiment.,False,False,2018-05-23T09:37:46Z,2018-07-19T09:21:10Z,,1,1,,1,Python,addok,False,
addok-http-falcon,addok,GitHub,https://github.com/addok/addok-http-falcon,"Addok plugin to handle HTTP layer, based on Falcon",False,False,2019-05-09T12:15:46Z,2019-05-09T12:16:18Z,,0,0,,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/addok/addok-http-falcon/directory/
