nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,derniere_modification,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
motel,medialab,GitHub,https://github.com/medialab/motel,Exploration tool for word embeddings.,False,False,2019-04-01T13:57:46Z,2019-04-18T15:31:21Z,2019-04-18T15:31:19Z,,0,0,,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/medialab/motel
la-piscine,spyrales,GitHub,https://github.com/spyrales/la-piscine,Des exemples de réalisations de la communautés spyrales,False,False,2020-03-28T22:42:50Z,2020-05-19T07:42:21Z,2020-06-06T22:49:54Z,,6,10,,1,R,"markdown,publishing,showroom",True,https://archive.softwareheritage.org/browse/origin/https://github.com/spyrales/la-piscine
dtermed.annuaire,CEREMA,GitHub,https://github.com/CEREMA/dtermed.annuaire,Annuaire CEREMA DTerMed,False,False,2014-10-07T14:46:14Z,2018-06-08T11:10:35Z,2016-05-27T13:14:35Z,,0,0,,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/CEREMA/dtermed.annuaire
alphaz,Alpha,GitLab,https://gitlab.inria.fr/Alpha/alphaz,AlphaZ developed at CSU and CAIRN. This repository is a migration of old sources that were in separate locations.,,False,2019-04-11T08:16:23Z,2020-10-06T19:01:39Z,2020-10-06T19:01:39Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/Alpha/alphaz
Eno-CLI,InseeFr,GitHub,https://github.com/InseeFr/Eno-CLI,Command-line interface for Eno,False,False,2017-03-14T15:12:07Z,2019-09-27T15:19:49Z,2020-07-01T18:11:21Z,,0,0,MIT License,1,Java,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/InseeFr/Eno-CLI
tw-modeling-toolkit,reversaal,GitLab,https://gitlab.irstea.fr/reversaal/tw-modeling-toolkit,,,False,2020-06-29T08:14:08Z,2020-07-31T14:18:32Z,2020-07-31T14:18:32Z,,1,0,,1,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.irstea.fr/reversaal/tw-modeling-toolkit
django-lti-toolbox,openfun,GitHub,https://github.com/openfun/django-lti-toolbox,:closed_lock_with_key:  A Django application to build LTI Tool Providers,False,False,2020-06-04T10:10:11Z,2020-06-11T15:06:40Z,2020-06-12T10:30:18Z,,0,0,MIT License,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/openfun/django-lti-toolbox
quickspan,Quickspan,GitLab,https://gitlab.inria.fr/Quickspan/quickspan,Fast frequent subgraph mining.,,False,2018-06-28T07:46:36Z,2018-12-14T11:04:26Z,2018-12-14T11:04:26Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/Quickspan/quickspan
ami-ia-irsn,etalab-ia,GitHub,https://github.com/etalab-ia/ami-ia-irsn,Dépôt de code pour le projet AMI IA 2 de l'IRSN.,False,False,2020-02-11T15:18:09Z,2020-02-11T15:18:09Z,2020-02-11T15:18:11Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/etalab-ia/ami-ia-irsn
urbanisme-plugin-plu,lutece-secteur-public,GitHub,https://github.com/lutece-secteur-public/urbanisme-plugin-plu,Consultation des historiques du Plan Local d'Urbanisme (PLU),False,False,2015-09-21T08:25:30Z,2015-09-21T08:29:50Z,2016-11-10T19:34:57Z,,0,0,,0,Java,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/lutece-secteur-public/urbanisme-plugin-plu
excalibur,unistra,GitHub,https://github.com/unistra/excalibur,A tool to manage plugins,False,False,2014-03-18T12:35:10Z,2019-03-27T14:45:34Z,2019-03-27T14:45:32Z,,3,1,,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/unistra/excalibur
transpo-rt,etalab,GitHub,https://github.com/etalab/transpo-rt,Simple API for public transport realtime data ,False,False,2018-11-21T09:05:10Z,2020-09-30T08:56:13Z,2020-09-07T09:54:30Z,https://tr.transport.data.gouv.fr/,12,6,GNU Affero General Public License v3.0,6,Rust,"gtfs-rt,realtime-data,siri-lite",True,https://archive.softwareheritage.org/browse/origin/https://github.com/etalab/transpo-rt
recmoustics,record-open-archives,GitLab,https://forgemia.inra.fr/record-open-archives/recmoustics,"archive du projet recmoustics

Un modèle d'irrigation couplé au modèle bio-physique STICS",,False,2018-06-28T13:25:53Z,2018-06-28T13:25:53Z,2018-06-28T13:25:53Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://forgemia.inra.fr/record-open-archives/recmoustics
gemoc-studio-execution-moccml,gemoc,GitHub,https://github.com/gemoc/gemoc-studio-execution-moccml,gemoc-studio-execution-moccml,True,False,2019-08-23T13:04:58Z,2020-07-20T15:57:56Z,2020-07-27T09:40:16Z,,0,0,Eclipse Public License 1.0,0,Java,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/gemoc/gemoc-studio-execution-moccml
jbj-playground,Inist-CNRS,GitHub,https://github.com/Inist-CNRS/jbj-playground,JBJ playground - test your stylesheets online,False,False,2015-11-18T08:49:18Z,2016-03-11T22:41:52Z,2016-07-26T13:45:32Z,http://inist-cnrs.github.io/jbj-playground/,2,1,,3,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Inist-CNRS/jbj-playground
P4z,p4z_sarah_yoann,GitLab,https://git.unistra.fr/p4z_sarah_yoann/P4z,,,False,2020-01-31T12:38:52Z,2020-03-27T21:33:59Z,2020-03-27T21:33:59Z,,0,2,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://git.unistra.fr/p4z_sarah_yoann/P4z
crowdin-docker,openfun,GitHub,https://github.com/openfun/crowdin-docker,:whale: A docker image for the Crowdin CLI for internationalization,False,False,2019-03-22T10:23:26Z,2020-02-10T10:50:21Z,2020-02-10T10:50:22Z,,0,0,,2,Dockerfile,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/openfun/crowdin-docker
bibliotouch,enssib,GitLab,https://gitlab.in2p3.fr/Enssib/bibliotouch,à compléter,,False,2018-11-14T09:45:54Z,2020-07-21T16:06:01Z,2020-07-21T16:06:01Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.in2p3.fr/Enssib/bibliotouch
eva-serveur,betagouv,GitHub,https://github.com/betagouv/eva-serveur,Serveur et espace d'administration pour eva,False,False,2019-02-27T10:35:38Z,2020-10-12T09:20:18Z,2020-10-12T10:12:36Z,https://api.app.eva.beta.gouv.fr/,0,1,GNU Affero General Public License v3.0,5,Ruby,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/betagouv/eva-serveur
mdph-library-mdph,lutece-secteur-public,GitHub,https://github.com/lutece-secteur-public/mdph-library-mdph,,False,False,2019-07-10T07:59:44Z,2019-08-28T09:33:11Z,2020-03-13T10:45:10Z,,0,0,,0,Java,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/lutece-secteur-public/mdph-library-mdph
sosiefier,DIVERSIFY-project,GitHub,https://github.com/DIVERSIFY-project/sosiefier,A tool to create program sosies (diversified program variants),False,False,2014-01-27T16:00:46Z,2020-10-10T19:28:27Z,2020-02-14T17:37:02Z,http://hal.inria.fr/hal-00938855/PDF/sosies.pdf,7,4,GNU Lesser General Public License v3.0,5,Java,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/DIVERSIFY-project/sosiefier
kosko-charts,SocialGouv,GitHub,https://github.com/SocialGouv/kosko-charts,The Social Gouv Kosko Charts,False,False,2020-05-06T07:16:51Z,2020-10-12T02:14:25Z,2020-10-12T02:14:24Z,,0,0,Apache License 2.0,13,TypeScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocialGouv/kosko-charts
addon-context-linux,eole,GitHub,https://github.com/eole/addon-context-linux,Linux VM Contextualization,True,False,2019-07-09T09:25:54Z,2019-07-09T09:25:57Z,2019-08-19T09:17:58Z,,0,0,Apache License 2.0,0,Shell,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/eole/addon-context-linux
hornet-showroom,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/hornet-showroom,"Documentation de la filière Hornet.js pour la mise en oeuvre des référentiels généraux de l'état Français : RGAA, RGS, RGI",False,False,2017-12-18T15:29:12Z,2019-10-10T11:06:02Z,2019-07-22T09:46:38Z,,0,0,,0,CSS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/diplomatiegouvfr/hornet-showroom
flowvr-ex,flowvr,GitLab,https://gitlab.inria.fr/flowvr/flowvr-ex,In Situ Processing and Analytics Framework,,False,2018-02-02T08:43:41Z,2020-09-30T08:45:47Z,2020-09-30T08:45:47Z,,0,0,,2,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/flowvr/flowvr-ex
testrepo2,metwork-framework,GitHub,https://github.com/metwork-framework/testrepo2,,False,False,2020-06-12T08:33:59Z,2020-07-20T12:34:59Z,2020-07-20T12:34:57Z,,0,0,,0,,testrepo,True,https://archive.softwareheritage.org/browse/origin/https://github.com/metwork-framework/testrepo2
SolEil,infosol,GitLab,https://forgemia.inra.fr/infosol/SolEil,Soil - EJP - Interoperability - Linked-Data,,False,2020-07-09T12:09:25Z,2020-10-07T13:15:41Z,2020-10-07T13:15:41Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://forgemia.inra.fr/infosol/SolEil
personal-air-timeline,medialab,GitHub,https://github.com/medialab/personal-air-timeline,a SaveOurAir experiment,False,False,2018-02-19T13:48:31Z,2018-03-23T13:21:16Z,2018-03-23T13:22:11Z,,1,2,,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/medialab/personal-air-timeline
gen.parRep,parallel-replica,GitLab,https://gitlab.inria.fr/parallel-replica/gen.parRep,"An implementation of the Generalized Parallel Replica algorithm, developed at CERMICS, ENPC, France, by Florent Hédin and Tony Lelièvre, in collaboration with INRIA MATHERIALS.",,False,2018-07-06T15:29:38Z,2019-07-22T09:32:44Z,2019-07-22T09:32:44Z,,1,0,,4,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/parallel-replica/gen.parRep
Accessim,Geographie-cites,GitHub,https://github.com/Geographie-cites/Accessim,,False,False,2016-04-13T13:23:56Z,2016-04-13T15:04:04Z,2016-04-25T10:15:36Z,,0,0,,0,NetLogo,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/Geographie-cites/Accessim
place,aife,GitLab,https://gitlab.adullact.net/aife/place,"La solution PLACE (Plateforme des Achats de l'Etat) permet aux acheteurs publics et aux entreprises d'échanger et de dialoguer électroniquement pour la passation des marchés publics et des contrats de concession. 
https://www.marches-publics.gouv.fr/",,False,2017-10-12T09:03:11Z,2020-08-21T09:06:09Z,2020-08-21T09:06:09Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.adullact.net/aife/place
camino-ui,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-ui,"Interface web de Camino, le cadastre minier numérique ouvert",False,False,2018-06-01T15:57:19Z,2020-10-12T07:39:04Z,2020-10-12T07:39:02Z,http://camino.beta.gouv.fr,7,13,GNU Affero General Public License v3.0,2,Vue,"babel,docker,graphql,graphql-react,leafletjs,postcss,vuejs,vuex",True,https://archive.softwareheritage.org/browse/origin/https://github.com/MTES-MCT/camino-ui
CookieViz,LINCnil,GitHub,https://github.com/LINCnil/CookieViz,,False,False,2014-02-19T11:04:30Z,2020-10-11T10:39:46Z,2020-10-02T17:56:09Z,,118,29,GNU General Public License v3.0,2,CSS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/LINCnil/CookieViz
sdsl-lite,vidjil,GitLab,https://gitlab.inria.fr/vidjil/sdsl-lite,,,False,2017-02-16T22:27:32Z,2017-03-02T16:01:35Z,2017-03-02T16:01:35Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/vidjil/sdsl-lite
PSEExperiments,ISCPIF,GitHub,https://github.com/ISCPIF/PSEExperiments,"Reproduce the experiments of the paper ""Beyond corroboration: strengthening model validation by looking for unexpected patterns"" by Chérel, Cottineau and Reuillon",False,False,2015-03-20T15:45:10Z,2015-05-19T15:36:41Z,2015-05-19T15:41:23Z,,0,0,GNU Affero General Public License v3.0,0,Scala,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/ISCPIF/PSEExperiments
opam-repository,star-explain,GitLab,https://gitlab.inria.fr/star-explain/opam-repository,,,False,2019-06-04T09:12:00Z,2019-11-30T13:06:29Z,2019-11-30T13:06:29Z,,1,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/star-explain/opam-repository
nfs-ganesha,cea-hpc,GitHub,https://github.com/cea-hpc/nfs-ganesha,"NFS-Ganesha, a NFSv2/NFSv3/NFSv4.x server in User Space",True,False,2012-06-07T08:42:58Z,2018-05-25T14:18:47Z,2018-05-25T14:18:22Z,http://nfs-ganesha.sf.net,5,0,,0,C,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/cea-hpc/nfs-ganesha
kermeta,diverse-project,GitHub,https://github.com/diverse-project/kermeta,IDE plugins and interpreter for the Kermeta metamodeling execution language ,False,False,2020-08-19T09:45:06Z,2020-09-10T14:13:02Z,2020-09-07T13:33:48Z,,1,0,Eclipse Public License 1.0,0,Java,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/diverse-project/kermeta
role-ansible,betagouv,GitHub,https://github.com/betagouv/role-ansible,,False,True,2016-02-23T14:23:24Z,2020-02-12T07:24:37Z,2016-02-25T09:13:06Z,,3,2,,0,Shell,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/betagouv/role-ansible
HyFN,WIDE,GitLab,https://gitlab.inria.fr/WIDE/HyFN,Public repository for the code used in HyFN experiments,,False,2017-02-24T17:26:14Z,2017-02-24T17:26:14Z,2017-02-24T17:26:14Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/WIDE/HyFN
src_platform_clip-generic-net,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-generic-net,Generic network initialization scripts for clip,False,False,2018-09-20T09:41:32Z,2018-09-20T09:41:38Z,2018-09-20T09:41:40Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/clipos-archive/src_platform_clip-generic-net
gagallium-save,gagallium,GitLab,https://gitlab.inria.fr/gagallium/gagallium-save,,,False,2017-02-06T17:44:04Z,2019-04-16T12:07:20Z,2019-04-16T12:07:20Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/gagallium/gagallium-save
Macosx-Packager,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Macosx-Packager,It creates custom installation package to be able to deploy OCS Inventory NG MacOSX silently using Apple Remote Desktop or scripts,False,False,2015-06-02T10:19:39Z,2020-01-28T09:36:20Z,2016-05-30T12:17:34Z,,5,7,GNU General Public License v2.0,2,Objective-C,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/OCSInventory-NG/Macosx-Packager
opinionated_configparser,metwork-framework,GitHub,https://github.com/metwork-framework/opinionated_configparser,"opinionated python configparser library override to deal with configuration variants (PROD, DEV...)",False,False,2020-01-14T10:23:09Z,2020-09-11T14:28:42Z,2020-09-11T14:28:39Z,,0,0,MIT License,0,Python,"autoreadme,configparser,configuration-variants,integration-level-3,jinja2,python-configparser-library",True,https://archive.softwareheritage.org/browse/origin/https://github.com/metwork-framework/opinionated_configparser
should,vidjil,GitLab,https://gitlab.inria.fr/vidjil/should,Test command-line applications through .should files,,True,2018-04-10T07:01:33Z,2019-04-01T09:49:28Z,2019-04-01T09:49:28Z,,0,0,,17,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/vidjil/should
starpu-debian,starpu,GitLab,https://gitlab.inria.fr/starpu/starpu-debian,"Debian Package files for StarPU
",,False,2020-06-15T12:02:19Z,2020-09-10T15:28:44Z,2020-09-10T15:28:44Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/starpu/starpu-debian
one,unistra,GitHub,https://github.com/unistra/one,OpenNebula cloud management platform,True,False,2015-06-05T12:06:25Z,2016-03-08T20:22:55Z,2017-07-07T20:44:28Z,http://opennebula.org,0,1,Apache License 2.0,0,C++,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/unistra/one
django-excalibur,unistra,GitHub,https://github.com/unistra/django-excalibur,Django implementation for Excalibur : A tool to manage plugins,False,False,2015-04-20T09:16:16Z,2017-12-13T01:32:40Z,2015-09-07T09:10:27Z,,1,0,GNU General Public License v2.0,1,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/unistra/django-excalibur
Roundcube-Plugins-Melanie2,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugins-Melanie2,Liste des plugins Roundcube spécifiques à Mélanie2,False,False,2017-04-26T09:53:19Z,2019-02-12T16:21:33Z,2019-02-12T16:21:30Z,,0,2,,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugins-Melanie2
pix,1024pix,GitHub,https://github.com/1024pix/pix,Service public d'évaluation et de certification des compétences numériques pour tous.,False,False,2018-03-26T15:47:12Z,2020-10-12T11:03:47Z,2020-10-12T11:03:45Z,https://pix.fr,80,18,GNU Affero General Public License v3.0,40,JavaScript,"circleci,cypress,docker,emberjs,hacktoberfest,hapijs,nodejs,npm,postgresql,scalingo",True,https://archive.softwareheritage.org/browse/origin/https://github.com/1024pix/pix
openfisca-qt,openfisca,GitHub,https://github.com/openfisca/openfisca-qt,[DEPRECATED] QT GUI for OpenFisca -- a versatile microsimulation free software,False,True,2013-12-29T14:44:28Z,2018-11-23T19:28:41Z,2015-01-07T06:15:23Z,http://www.openfisca.fr/,0,18,GNU Affero General Public License v3.0,11,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/openfisca/openfisca-qt
cas-server-support-claExternalID,EsupPortail,GitHub,https://github.com/EsupPortail/cas-server-support-claExternalID,"Module CAS, modifying behavior around OIDC module",False,False,2018-01-31T09:53:49Z,2019-11-12T15:10:45Z,2019-11-29T15:20:14Z,,0,0,Apache License 2.0,0,CSS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/EsupPortail/cas-server-support-claExternalID
ccompil,lifap6,GitLab,https://forge.univ-lyon1.fr/lifap6/ccompil,"petit projet pour montrer le principe de la compilation de différents modules, l'édition de liens, quelques erreurs et bonnes habitudes",,False,2019-02-03T13:57:40Z,2019-02-03T22:31:47Z,2019-02-03T22:31:47Z,,0,5,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://forge.univ-lyon1.fr/lifap6/ccompil
donneesCsv,datalocale,GitHub,https://github.com/datalocale/donneesCsv,Données csv éditables,False,False,2013-08-28T07:49:40Z,2019-08-02T14:22:42Z,2017-12-18T15:24:22Z,,2,2,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/datalocale/donneesCsv
checklist-lodel,OpenEdition,GitHub,https://github.com/OpenEdition/checklist-lodel,,False,False,2017-10-19T15:22:32Z,2020-03-06T14:05:19Z,2020-03-04T13:13:16Z,,1,1,GNU General Public License v3.0,35,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/OpenEdition/checklist-lodel
librobinhood,cea-hpc,GitHub,https://github.com/cea-hpc/librobinhood,,False,False,2020-09-25T12:32:16Z,2020-10-09T22:26:19Z,2020-10-09T22:26:17Z,,0,0,GNU Lesser General Public License v3.0,0,C,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/cea-hpc/librobinhood
udata-meta,opendatateam,GitHub,https://github.com/opendatateam/udata-meta,Information about the udata* project,False,False,2019-02-07T16:16:59Z,2019-06-06T07:43:56Z,2019-02-07T16:19:14Z,,2,0,GNU Affero General Public License v3.0,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/opendatateam/udata-meta
udata-doc,MTES-MCT,GitHub,https://github.com/MTES-MCT/udata-doc,Documentation d'installation et paramétrage de udata au MTES,False,False,2017-04-25T12:18:33Z,2020-03-17T18:52:08Z,2017-08-18T09:44:54Z,,3,0,,0,SAS,"curl,markdown,r,sas,udata",True,https://archive.softwareheritage.org/browse/origin/https://github.com/MTES-MCT/udata-doc
vitam-itests,ProgrammeVitam,GitHub,https://github.com/ProgrammeVitam/vitam-itests,Digital Archives Management System developped by French government/Programme interministériel archives numériques ; non regression tests.,False,False,2018-03-27T10:29:26Z,2020-02-06T13:26:55Z,2020-07-16T09:50:22Z,,1,1,,0,Gherkin,"tests,vitam",True,https://archive.softwareheritage.org/browse/origin/https://github.com/ProgrammeVitam/vitam-itests
pix2pix_wassersten,openskecth,GitLab,https://gitlab.inria.fr/openskecth/pix2pix_wassersten,pix2pix with Wasserstein loss,,False,2019-08-08T15:47:09Z,2019-08-08T15:47:09Z,2019-08-08T15:47:09Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/openskecth/pix2pix_wassersten
pass-culture-shared,betagouv,GitHub,https://github.com/betagouv/pass-culture-shared,Tous les objets javascript partagés entre l'application découverte et l'application pro,False,False,2018-07-09T18:01:54Z,2020-04-29T07:15:21Z,2020-09-15T08:10:38Z,,0,0,Mozilla Public License 2.0,7,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/betagouv/pass-culture-shared
adock-ansible,MTES-MCT,GitHub,https://github.com/MTES-MCT/adock-ansible,Déploiement d'un serveur dédié pour A Dock,False,False,2018-03-05T13:45:16Z,2020-10-12T00:42:45Z,2020-10-12T00:42:43Z,,1,0,,0,HTML,ansible,True,https://archive.softwareheritage.org/browse/origin/https://github.com/MTES-MCT/adock-ansible
contour-detect,D3,GitLab,https://gitlab.inria.fr/D3/contour-detect,"Line rendering of 3D meshes for data-driven sketch-based modelling.

Software main page : https://ns.inria.fr/d3/syndraw/  
",,False,2018-12-06T10:29:56Z,2020-04-03T13:16:58Z,2020-04-03T13:16:58Z,,2,0,,3,,"non-photorealistic rendering,vector-graphics",True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/D3/contour-detect
cdtn-admin,SocialGouv,GitHub,https://github.com/SocialGouv/cdtn-admin,Veille & administration des contenus pour le code du travail numérique,False,False,2020-05-18T13:26:00Z,2020-10-11T23:40:55Z,2020-10-11T23:40:53Z,https://cdtn-admin.fabrique.social.gouv.fr,0,0,,20,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocialGouv/cdtn-admin
geohisto,etalab,GitHub,https://github.com/etalab/geohisto,"[UNMAINTAINED] Historic information for French regions, counties, overseas collectivities and towns based on INSEE and Wikipedia data, exported as (re)usable CSV files.",False,True,2016-07-11T10:14:50Z,2020-07-18T22:51:11Z,2019-04-09T08:18:43Z,,26,2,Other,11,Python,"collectives,communes,counties,departements,french,graph,history,insee,opendata,regions,towns",True,https://archive.softwareheritage.org/browse/origin/https://github.com/etalab/geohisto
porteconnaissance_pq,PnCevennes,GitHub,https://github.com/PnCevennes/porteconnaissance_pq,,False,False,2016-06-15T13:50:28Z,2016-06-15T17:12:09Z,2016-07-05T10:52:04Z,,1,0,GNU General Public License v3.0,0,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/PnCevennes/porteconnaissance_pq
gpldoc,sympa-community,GitHub,https://github.com/sympa-community/gpldoc,Sympa documentation licensed under GPL,False,False,2018-10-19T05:00:11Z,2020-10-01T07:19:28Z,2020-10-01T07:19:25Z,https://sympa-community.github.io/,0,1,GNU General Public License v2.0,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/sympa-community/gpldoc
quinoa-bocal,medialab,GitHub,https://github.com/medialab/quinoa-bocal,A secure flat-file Quinoa archive management system,False,False,2018-11-15T15:31:08Z,2020-04-13T22:58:38Z,2020-08-20T15:26:34Z,,1,0,,10,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/medialab/quinoa-bocal
