nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
clustershell,cea-hpc,GitHub,https://github.com/cea-hpc/clustershell,"Scalable cluster administration Python framework — Manage node sets, node groups and execute commands on cluster nodes in parallel.",False,2012-03-02T23:51:18Z,2019-05-03T20:50:35Z,http://cea-hpc.github.com/clustershell,252,60,,91,Python,
nfs-ganesha,cea-hpc,GitHub,https://github.com/cea-hpc/nfs-ganesha,"NFS-Ganesha, a NFSv2/NFSv3/NFSv4.x server in User Space",True,2012-06-07T08:42:58Z,2018-05-25T14:18:47Z,http://nfs-ganesha.sf.net,5,0,,0,C,
robinhood,cea-hpc,GitHub,https://github.com/cea-hpc/robinhood,Robinhood Policy Engine : a versatile tool to monitor filesystem contents and schedule actions on filesystem entries.,False,2012-06-07T09:09:29Z,2019-04-09T09:25:28Z,http://robinhood.sf.net,107,38,Other,27,C,
milkcheck,cea-hpc,GitHub,https://github.com/cea-hpc/milkcheck,Highly parallel and flexible service manager.,False,2013-03-19T09:29:01Z,2019-02-26T13:34:08Z,,14,4,Other,18,Python,
bridge,cea-hpc,GitHub,https://github.com/cea-hpc/bridge,Bridge CEA In-House Batch Environment gives a uniform way to access external Batch scheduling systems.,False,2014-03-18T10:31:46Z,2018-12-07T13:51:31Z,,3,2,GNU General Public License v3.0,1,C,
glost,cea-hpc,GitHub,https://github.com/cea-hpc/glost,Greedy Launcher Of Small Tasks,False,2014-09-09T14:36:30Z,2018-09-15T20:43:40Z,,3,1,GNU General Public License v3.0,0,C,
lcap,cea-hpc,GitHub,https://github.com/cea-hpc/lcap,Lustre Changelogs Aggregate & Publish,False,2014-10-24T11:21:52Z,2018-01-13T14:44:20Z,,4,5,GNU Lesser General Public License v3.0,1,C,
shine,cea-hpc,GitHub,https://github.com/cea-hpc/shine,Lustre administration tool,False,2015-03-30T16:44:59Z,2019-02-03T17:40:38Z,,12,4,GNU General Public License v2.0,30,Python,
sshproxy,cea-hpc,GitHub,https://github.com/cea-hpc/sshproxy,Proxy SSH connections on a gateway,False,2015-12-15T08:06:30Z,2019-04-05T06:53:45Z,,15,4,Other,2,Go,"cea,etcd,go,ssh"
mooshika,cea-hpc,GitHub,https://github.com/cea-hpc/mooshika,RDMA abstraction layer,True,2016-02-01T15:56:13Z,2019-01-11T05:05:17Z,,1,1,GNU Lesser General Public License v3.0,1,C,
wi4mpi,cea-hpc,GitHub,https://github.com/cea-hpc/wi4mpi,Wrapper interface for MPI,False,2016-08-03T12:38:57Z,2019-02-12T12:02:00Z,,15,1,,2,C,
hp2p,cea-hpc,GitHub,https://github.com/cea-hpc/hp2p,Heavy Peer To Peer: a MPI based benchmark for network diagnostic,False,2017-02-15T13:54:08Z,2019-01-11T07:25:37Z,,9,0,Other,1,C++,"benchmark,hpc,hpc-applications,mpi,network,network-analysis,parallel,parallel-computing,tool"
selFIe,cea-hpc,GitHub,https://github.com/cea-hpc/selFIe,Self and Light proFIling Engine - a very light profiling tools for Linux commands and HPC codes,False,2017-02-15T13:56:58Z,2019-04-24T13:06:23Z,,7,5,Other,1,C,"light-profiling-engine,linux,mpi,papi,profile,profiling,selfie"
modules,cea-hpc,GitHub,https://github.com/cea-hpc/modules,Environment Modules: provides dynamic modification of a user's environment,False,2017-03-14T05:10:41Z,2019-05-06T03:27:34Z,http://modules.sourceforge.net/,157,34,GNU General Public License v2.0,35,Tcl,"environment,environment-modules,hpc,module,modulefiles,shell,tcl"
fleet,cea-hpc,GitHub,https://github.com/cea-hpc/fleet,fleet ties together systemd and etcd into a distributed init system,True,2017-07-06T14:55:15Z,2019-03-27T14:53:14Z,,0,0,Apache License 2.0,0,Go,
pcocc,cea-hpc,GitHub,https://github.com/cea-hpc/pcocc,Run VMs on an HPC cluster,False,2017-09-18T13:42:32Z,2019-04-20T20:13:28Z,,18,4,GNU General Public License v3.0,3,Python,
kvsns,cea-hpc,GitHub,https://github.com/cea-hpc/kvsns,Implements a POSIX Name Space using the services of a Key-Value Store,False,2018-05-25T13:54:07Z,2018-05-25T13:56:26Z,,0,0,,0,Perl,
sigmund,cea-hpc,GitHub,https://github.com/cea-hpc/sigmund,A framework to ease filesystem's non-regression tests,False,2018-05-25T13:58:03Z,2018-05-25T13:59:46Z,,0,0,,0,Shell,
space9,cea-hpc,GitHub,https://github.com/cea-hpc/space9,A library implementing a simple 9p client in user space,False,2018-05-25T14:23:55Z,2018-05-25T14:25:02Z,,0,0,GNU Lesser General Public License v3.0,0,C,
NabLab,cea-hpc,GitHub,https://github.com/cea-hpc/NabLab,Full-fledged industrial environment for scientific computing and High Performance Computing,False,2018-07-20T14:43:48Z,2019-04-30T18:55:11Z,,5,1,Other,0,Java,
krb5,cea-hpc,GitHub,https://github.com/cea-hpc/krb5,mirror of MIT krb5 repository,True,2018-09-26T13:25:39Z,2018-09-26T15:15:24Z,,0,0,,5,C,
heimdal,cea-hpc,GitHub,https://github.com/cea-hpc/heimdal,Heimdal,True,2018-10-02T12:17:02Z,2018-10-02T13:33:41Z,http://www.h5l.org/,0,0,Other,0,C,
vbridge,cea-hpc,GitHub,https://github.com/cea-hpc/vbridge,X11 cloud desktop software,True,2019-03-11T09:45:32Z,2019-03-11T09:46:56Z,,0,0,"BSD 3-Clause ""New"" or ""Revised"" License",0,C,
pdwfs,cea-hpc,GitHub,https://github.com/cea-hpc/pdwfs,Redis-backed In transit Infrastructure for HPC Workflows,False,2019-03-11T21:53:47Z,2019-04-29T14:46:45Z,,6,0,Apache License 2.0,0,C,"c,cea,golang,hpc,in-situ,in-transit,redis,workflow"
gct,cea-hpc,GitHub,https://github.com/cea-hpc/gct,Grid Community Toolkit,True,2019-03-14T10:17:21Z,2019-03-14T10:37:18Z,,0,0,Apache License 2.0,0,C,
gssapi,cea-hpc,GitHub,https://github.com/cea-hpc/gssapi,GSSAPI bindings for Go,True,2019-03-27T13:54:06Z,2019-03-27T14:11:25Z,,0,0,Apache License 2.0,0,Go,
kfs,cea-hpc,GitHub,https://github.com/cea-hpc/kfs,HTTPS file server serving files from Kerberos shares,False,2019-03-28T14:40:26Z,2019-04-05T06:54:11Z,,1,0,Other,0,Go,"cea,go,https,kerberos"
