nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
src_platform_xscreensaver-pwcheck,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_xscreensaver-pwcheck,xscreensaver-pwcheck: authenticate xscreensaver users through pwcheckd,False,2018-09-20T09:30:15Z,2018-09-20T09:31:19Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_vsctl,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_vsctl,"vsctl: start, stop and enter simple vservers",False,2018-09-20T09:31:21Z,2018-09-20T09:31:27Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_verictl,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_verictl,verictl: configure veriexec,False,2018-09-20T09:31:29Z,2018-09-20T09:31:35Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_vaultguard,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_vaultguard,Virtual vault to keep user's secrets,False,2018-09-20T09:31:37Z,2018-09-20T09:31:43Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_userd,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_userd,userd: daemon handling user management tasks,False,2018-09-20T09:31:45Z,2018-09-20T09:31:51Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_usb-video-devices,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_usb-video-devices,USB video devices for RM jails,False,2018-09-20T09:31:53Z,2018-09-20T09:31:59Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_usb-scanner-devices,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_usb-scanner-devices,USB scanner devices for RM jails,False,2018-09-20T09:32:01Z,2018-09-20T09:32:09Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_usb-printer-devices,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_usb-printer-devices,USB printer devices for RM jails,False,2018-09-20T09:32:11Z,2018-09-20T09:32:18Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_tpm-cmd,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_tpm-cmd,A lighthweight TPM commandline tool,False,2018-09-20T09:32:20Z,2018-09-20T09:32:26Z,https://clip-os.org,0,0,GNU General Public License v2.0,0,C,
src_platform_syslinux-tpm-patches,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_syslinux-tpm-patches,TPM support for Syslinux,False,2018-09-20T09:32:28Z,2018-09-20T09:32:34Z,https://clip-os.org,0,0,GNU General Public License v2.0,0,,
src_platform_sub-clip,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_sub-clip,sub-clip,False,2018-09-20T09:32:34Z,2018-09-20T09:32:39Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_strongswan-patches,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_strongswan-patches,Set of strongSwan patches for CLIP,False,2018-09-20T09:32:39Z,2018-09-20T09:32:44Z,https://clip-os.org,0,0,GNU General Public License v2.0,0,,
src_platform_strongswan-clip-updown,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_strongswan-clip-updown,strongSwan updown plugin specific to CLIP jails,False,2018-09-20T09:32:47Z,2018-09-20T09:32:52Z,https://clip-os.org,0,0,GNU General Public License v2.0,0,C,
src_platform_ssm-display,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_ssm-display,Display client and daemon for CLIP SSM,False,2018-09-20T09:32:54Z,2018-09-20T09:33:00Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Python,
src_platform_smartcard-readers,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_smartcard-readers,USB smartcard readers devices creation scripts (hotplug),False,2018-09-20T09:33:02Z,2018-09-20T09:33:10Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_smartcard-monitor,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_smartcard-monitor,Smartcard events monitor,False,2018-09-20T09:33:12Z,2019-06-06T14:05:24Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_scdaemon,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_scdaemon,Smartcard daemon for GnuPG/OpenPGP smartcards,False,2018-09-20T09:33:20Z,2018-09-20T09:33:26Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_rm-sessions,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_rm-sessions,rm-sessions : scripts for RM jails,False,2018-09-20T09:33:28Z,2018-09-20T09:33:34Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_rmh-config,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_rmh-config,graphical configuration tool for RMH services,False,2018-09-20T09:33:36Z,2018-09-20T09:33:42Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C++,
src_platform_pwcheckd,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_pwcheckd,pwcheckd: authenticate users sending their password over a UNIX socket,False,2018-09-20T09:33:44Z,2018-09-20T09:33:49Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_pfring-kernel-patches,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_pfring-kernel-patches,Experimental PF_RING patches for CLIP,False,2018-09-20T09:33:52Z,2018-09-20T09:33:58Z,https://clip-os.org,0,0,GNU General Public License v2.0,0,,
src_platform_pam_jail,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_pam_jail,PAM module to jail users based on their groups,False,2018-09-20T09:34:00Z,2018-09-20T09:34:08Z,https://clip-os.org,0,0,GNU General Public License v2.0,0,C,
src_platform_pam_exec_pwd,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_pam_exec_pwd,pam_exec_pwd: PAM module to run external commands,False,2018-09-20T09:34:11Z,2018-09-20T09:34:17Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_openbsd-malloc,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_openbsd-malloc,Safer memory allocator from OpenBSD libc,False,2018-09-20T09:34:19Z,2018-09-20T09:34:25Z,https://clip-os.org,0,0,,0,C,
src_platform_libanssipki-crypto,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_libanssipki-crypto,Library regrouping all ANSSI PKI cryptographic functions,False,2018-09-20T09:34:28Z,2018-09-20T09:34:34Z,https://clip-os.org,0,0,Other,0,Shell,
src_platform_libanssipki-client,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_libanssipki-client,ANSSI-PKI client library,False,2018-09-20T09:34:36Z,2018-09-20T09:34:41Z,https://clip-os.org,0,0,Other,0,C++,
src_platform_jailrequest,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_jailrequest,jailrequest : poke a jail'ed jailmaster from outside the jail,False,2018-09-20T09:34:43Z,2018-09-20T09:34:49Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_jailmaster,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_jailmaster,jailmaster : launch chrooted services in a vserver jail,False,2018-09-20T09:34:52Z,2018-09-20T09:34:57Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_init-cleaner,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_init-cleaner,clip-dev/init-cleaner from CLIP OS,False,2018-09-20T09:35:00Z,2018-09-20T09:35:08Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_hotplug-clip,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_hotplug-clip,Hotplug event handler for CLIP,False,2018-09-20T09:35:08Z,2018-09-20T09:35:15Z,https://clip-os.org,0,0,GNU General Public License v2.0,0,C,
src_platform_gen-crypt,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_gen-crypt,Signature creation / verification tool,False,2018-09-20T09:35:17Z,2018-09-20T09:35:23Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_fdp,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_fdp,File Descriptor Passing helpers and library,False,2018-09-20T09:35:26Z,2018-09-20T09:35:31Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_fbpanel-clip,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_fbpanel-clip,Custom fbpanel for CLIP,False,2018-09-20T09:35:34Z,2018-09-20T09:35:40Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_downloadrequest,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_downloadrequest,clip-download client for the admin view,False,2018-09-20T09:35:42Z,2018-09-20T09:35:48Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_debootstrap-clip,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_debootstrap-clip,Debian bootstrap scripts for clip,False,2018-09-20T09:35:50Z,2018-09-20T09:35:55Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,,
src_platform_cryptd,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_cryptd,cryptd: inter-jail encryption/decryption daemon,False,2018-09-20T09:35:58Z,2018-09-20T13:36:50Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_cryptclt,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_cryptclt,cryptd GUI clients,False,2018-09-20T09:36:08Z,2018-09-20T09:36:14Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C++,
src_platform_core-services,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_core-services,"core services for CLIP : core update, etc...",False,2018-09-20T09:36:16Z,2018-09-20T09:36:22Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Makefile,
src_platform_clip-vserver,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-vserver,clip servers - start and stop clip vservers,False,2018-09-20T09:36:25Z,2018-09-20T09:36:30Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Makefile,
src_platform_clip-vpn-net,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-vpn-net,Custom gateway network initialization scripts for clip,False,2018-09-20T09:36:32Z,2018-09-20T09:36:37Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_clip-viewer,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-viewer,CLIP Viewer app for html / plain text logs and help files,False,2018-09-20T09:36:40Z,2018-09-20T09:36:46Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C++,
src_platform_clip-user-mount,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-user-mount,Per-user temporary mounts management for CLIP,False,2018-09-20T09:36:48Z,2018-09-20T09:36:54Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_clip-useradmin,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-useradmin,CLIP user management tools,False,2018-09-20T09:36:56Z,2018-09-20T09:37:02Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_clip-usb-keys,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-usb-keys,USB keys management tools,False,2018-09-20T09:37:06Z,2018-09-20T09:37:12Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_clip-usb-clt,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-usb-clt,Usb keys client tool,False,2018-09-20T09:37:14Z,2018-09-20T09:37:20Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Makefile,
src_platform_clip-update-user-data,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-update-user-data,Clip update user data,False,2018-09-20T09:37:22Z,2018-09-20T09:37:28Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Makefile,
src_platform_clip-tests,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-tests,Miscellaneous security tests for CLIP,False,2018-09-20T09:37:30Z,2018-09-20T09:37:36Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,C,
src_platform_clip-test-box,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-test-box,clip-dev/clip-test-box from CLIP OS,False,2018-09-20T09:37:35Z,2018-09-20T09:37:41Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_clip-sub,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-sub,Common CLIP core subroutines,False,2018-09-20T09:37:41Z,2018-09-20T09:37:47Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Shell,
src_platform_ClipQt,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_ClipQt,Generic Qt code for CLIP,False,2018-09-20T09:37:49Z,2018-09-20T09:37:55Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Roff,
src_platform_CLIP-Pkg-QA,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_CLIP-Pkg-QA,CLIP::Pkg::QA - common CLIP package QA functions,False,2018-09-20T09:37:57Z,2018-09-20T09:38:02Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Perl,
src_platform_CLIP-Pkg-Install,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_CLIP-Pkg-Install,CLIP::Pkg::Install - CLIP package install functions,False,2018-09-20T09:38:07Z,2018-09-20T09:38:12Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Perl,
src_platform_CLIP-Pkg-Download,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_CLIP-Pkg-Download,CLIP::Pkg::Download - CLIP package download functions,False,2018-09-20T09:38:15Z,2018-09-20T09:38:20Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Perl,
src_platform_clip-pkgdb,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-pkgdb,A tool to link metadata to packages in a standalone text database optimized for version control systems,False,2018-09-20T09:38:23Z,2018-09-20T09:38:28Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,JavaScript,
src_platform_CLIP-Pkg-Base,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_CLIP-Pkg-Base,CLIP::Pkg::Base - common CLIP package management functions,False,2018-09-20T09:38:30Z,2018-09-20T09:38:36Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Perl,
src_platform_clip-patches,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_clip-patches,Set of Linux patches for CLIP OS,False,2018-09-20T09:38:38Z,2018-09-21T12:26:06Z,https://clip-os.org,1,1,GNU General Public License v2.0,0,,
