nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
rgaa,DISIC,GitHub,https://github.com/DISIC/rgaa,Ancien dépôt du RGAA 3.0,False,2015-06-02T08:55:44Z,2017-09-18T15:57:01Z,,37,16,,15,,"a11y,rgaa,rgaa-referentiel"
rgaa_bibliotheques_javascript,DISIC,GitHub,https://github.com/DISIC/rgaa_bibliotheques_javascript,Une étude de l'accessibilité des principales bibliothèques JavaScript a donné lieu à deux types de ressources : un état des lieux du niveau d'accessibilité des différents composants actuels et une correction des composants accompagné d'un tutoriel expliquant comment corriger.,False,2015-06-16T18:58:34Z,2017-08-28T19:46:33Z,,21,6,Other,4,HTML,"a11y,javascript,rgaa"
rgaa_composants_javascript,DISIC,GitHub,https://github.com/DISIC/rgaa_composants_javascript,Cette plateforme de tests présente les implémentations des composants ARIA telles qu'elles sont définies par les motifs de conception.,False,2015-06-16T19:16:06Z,2017-08-28T19:48:41Z,,16,2,Other,7,HTML,"a11y,javascript,javascript-component,rgaa"
rgaa_methodologie,DISIC,GitHub,https://github.com/DISIC/rgaa_methodologie,Méthodologie de tests pour la version 3 du RGAA,False,2015-09-15T11:43:19Z,2019-03-07T07:25:25Z,http://disic.github.io/rgaa_methodologie/index.html,15,6,Other,2,HTML,"a11y,a11y-testing,rgaa"
referentiel-mobile-tactile,DISIC,GitHub,https://github.com/DISIC/referentiel-mobile-tactile,Ce référentiel capitalise sur les travaux actuellement menés dans le cadre de WCAG qui ne propose pas encore de critères ou de techniques spécifiques aux situations de consultation sur les plateformes mobiles/tactiles. English version available: https://github.com/DISIC/referentiel-mobile-tactile/tree/en,False,2015-10-14T11:02:05Z,2018-01-04T21:40:16Z,,14,2,Other,1,,"a11y,mobile,rgaa"
rgaa_modeles_documents,DISIC,GitHub,https://github.com/DISIC/rgaa_modeles_documents,Modèles de documents dans le cadre du RGAA,False,2015-10-15T09:28:09Z,2019-03-07T22:03:27Z,,10,3,Other,1,HTML,"a11y,audit,rgaa"
guide-contribuer_accessible,DISIC,GitHub,https://github.com/DISIC/guide-contribuer_accessible,"Guide ""Contribuer sur le Web de manière accessible""",False,2015-11-27T12:37:38Z,2018-03-07T10:09:28Z,http://disic.github.io/guide-contribuer_accessible/,25,10,Other,0,HTML,"a11y,rgaa"
guide-mobile_app_dev_natif,DISIC,GitHub,https://github.com/DISIC/guide-mobile_app_dev_natif,Ce guide s'adresse aux développeurs d'applications mobiles qui souhaitent connaître les techniques à utiliser pour créer des applications accessibles avec les API fournies par les systèmes Android et iOS. Also available in English: https://github.com/DISIC/guide-mobile_app_dev_natif/tree/english/README.md,False,2016-02-17T15:21:54Z,2018-09-13T14:11:18Z,,9,5,Other,0,,"a11y,mobile-app"
guide-mobile_app_dev_hybride,DISIC,GitHub,https://github.com/DISIC/guide-mobile_app_dev_hybride,Ce guide s'adresse aux développeurs d'applications mobiles qui souhaitent connaître les techniques à utiliser pour créer des applications accessibles avec les frameworks Ionic et OnsenUI. English version: https://github.com/DISIC/guide-mobile_app_dev_hybride/tree/english,False,2016-02-17T15:22:10Z,2018-09-13T14:11:01Z,,6,2,Other,1,JavaScript,"a11y,ionic,mobile-app,onsen-ui"
guide-mobile_app_audit,DISIC,GitHub,https://github.com/DISIC/guide-mobile_app_audit,Ce guide présente les étapes à effectuer pour auditer l'accessibilité d'une application mobile. Il s'adresse aux développeurs ainsi qu'aux testeurs ou auditeurs. There is also an English version available of this Mobile app audit guide: https://github.com/DISIC/guide-mobile_app_audit/tree/english,False,2016-02-17T15:22:44Z,2018-01-30T18:50:24Z,,5,1,Other,0,,"a11y,mobile,mobile-app"
