nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
addok-fr,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/addok-fr,Addok plugin for addresses in French language,True,2017-01-18T12:36:43Z,2018-03-15T16:26:15Z,,0,0,,0,Python,,False,
the-magical-csv-merge-machine,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/the-magical-csv-merge-machine,API and interface for CSV normalization and linking,False,2017-01-20T15:47:05Z,2019-06-09T18:18:52Z,,12,3,MIT License,34,Python,,False,
tf-idf_poc,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/tf-idf_poc,Measuring tf-idf in Cour des comptes' reports,False,2017-01-23T16:05:00Z,2017-01-24T11:19:22Z,,0,0,,0,Jupyter Notebook,,False,
sidenotes,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/sidenotes,"A partial collection of talks, blogs, articles and books about programming, datascience and life.",False,2017-01-27T09:02:43Z,2019-05-28T09:23:44Z,,3,1,,1,,,False,
publib,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/publib,Exploring library catalogue,False,2017-02-15T16:22:41Z,2017-09-27T16:54:50Z,,1,0,,0,Jupyter Notebook,,False,
dedupe,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/dedupe,":id: A python library for accurate and scaleable fuzzy matching, record deduplication and entity-resolution.",True,2017-02-21T13:52:17Z,2018-03-15T16:26:24Z,,0,0,MIT License,0,Python,,False,
2017,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/2017,SIte web public de la promo EIG 2017,False,2017-03-01T16:58:25Z,2018-07-04T11:28:22Z,https://entrepreneur-interet-general.github.io/2017/,0,0,GNU General Public License v3.0,0,CSS,entrepreneur-interet-general,False,
word_convertor,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/word_convertor,,False,2017-03-10T13:28:16Z,2017-03-10T13:31:43Z,,0,0,,0,HTML,,False,
exo_ref,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/exo_ref,Connecting and versionning external referential,False,2017-03-21T17:28:01Z,2018-03-15T16:26:26Z,,0,0,,0,Jupyter Notebook,,False,
AFD_projects,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/AFD_projects,,False,2017-03-22T14:30:28Z,2018-03-15T16:26:16Z,,1,1,,0,,,False,
