nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
redmine_git_hosting,eole,GitHub,https://github.com/eole/redmine_git_hosting,A Redmine plugin which makes configuring your own Git hosting easy ;),True,2014-03-17T12:14:40Z,2014-03-17T12:14:41Z,http://www.jbox-web.com,0,0,MIT License,0,Ruby,
redmine_track_control,eole,GitHub,https://github.com/eole/redmine_track_control,Redmine Plugin to control issue creation with specific tracker,True,2014-09-18T10:01:24Z,2014-09-10T10:22:44Z,http://jijeshmohan.wordpress.com/2011/12/24/redmine-tracker-control-plugin-released,0,0,Other,0,,
e2guardian,eole,GitHub,https://github.com/eole/e2guardian,"Fork of Dansguardian Project with many improvements and bug fixes, e2guardian is a web content filtering proxy that works in conjunction with another caching proxy such as Squid or Oops : ",True,2014-12-12T10:54:04Z,2014-12-12T14:29:23Z,http://www.e2guardian.org/,0,0,GNU General Public License v2.0,0,C++,
redmine_backlogs,eole,GitHub,https://github.com/eole/redmine_backlogs,A Redmine plugin for agile teams,True,2016-04-21T12:16:41Z,2016-04-21T12:16:44Z,http://www.redminebacklogs.net,0,0,GNU General Public License v2.0,0,HTML,
docs,eole,GitHub,https://github.com/eole/docs,OpenNebula Documentation,True,2017-01-18T15:54:28Z,2017-01-18T15:54:32Z,,0,0,Other,0,Python,
e-auth,eole,GitHub,https://github.com/eole/e-auth,OpenID Provider for PCLL services,False,2017-04-18T15:16:12Z,2017-05-19T12:56:53Z,,0,1,,0,JavaScript,
mastodon,eole,GitHub,https://github.com/eole/mastodon,A GNU Social-compatible microblogging server,True,2017-05-19T16:06:21Z,2017-05-19T16:06:26Z,https://mastodon.social,0,0,GNU Affero General Public License v3.0,0,Ruby,
faketools,eole,GitHub,https://github.com/eole/faketools,,True,2017-05-22T11:27:13Z,2017-05-22T11:27:15Z,,0,0,,0,JavaScript,
systemd-formula,eole,GitHub,https://github.com/eole/systemd-formula,,True,2018-03-20T13:22:32Z,2019-05-20T11:22:49Z,,0,0,Apache License 2.0,0,SaltStack,
salt,eole,GitHub,https://github.com/eole/salt,Software to automate the management and configuration of any infrastructure or application at scale. Get access to the Salt software package repository here: ,True,2018-04-26T14:46:20Z,2019-05-06T13:27:38Z,https://repo.saltstack.com/,0,0,Apache License 2.0,0,Python,
salt-winrepo-ng,eole,GitHub,https://github.com/eole/salt-winrepo-ng,Jinja templated winrepo,True,2018-07-03T08:02:26Z,2018-07-03T09:37:10Z,,0,0,Other,0,SaltStack,
template-formula,eole,GitHub,https://github.com/eole/template-formula,salt-formula template filled with dummy content,True,2019-02-06T14:06:17Z,2019-07-12T07:59:19Z,http://docs.saltstack.com/en/latest/topics/development/conventions/formulas.html,0,0,Other,0,HTML,
one,eole,GitHub,https://github.com/eole/one,OpenNebula cloud management platform,True,2019-05-06T08:35:37Z,2019-05-06T08:35:47Z,http://opennebula.org,0,0,Other,0,C++,
libvirt-formula,eole,GitHub,https://github.com/eole/libvirt-formula,,True,2019-05-29T08:52:02Z,2019-06-20T15:21:44Z,http://docs.saltstack.com/en/latest/topics/development/conventions/formulas.html,0,0,Other,0,HTML,
addon-context-linux,eole,GitHub,https://github.com/eole/addon-context-linux,Linux VM Contextualization,True,2019-07-09T09:25:54Z,2019-07-09T09:25:57Z,,0,0,Apache License 2.0,0,Shell,
