nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
weckan,etalab,GitHub,https://github.com/etalab/weckan,Web application using CKAN model,False,2013-08-26T16:21:49Z,2018-04-13T11:14:53Z,,5,1,GNU Affero General Public License v3.0,2,Python,
ckanext-etalab,etalab,GitHub,https://github.com/etalab/ckanext-etalab,CKAN extension for data.gouv.fr site,False,2013-08-26T17:02:07Z,2018-04-13T11:17:38Z,,0,1,GNU Affero General Public License v3.0,0,Python,
biryani,etalab,GitHub,https://github.com/etalab/biryani,A data conversion and validation toolbox,False,2013-08-26T17:07:29Z,2018-12-11T11:19:14Z,http://biryani.readthedocs.org/en/latest/,4,19,,1,Python,
etalab-to-ckan,etalab,GitHub,https://github.com/etalab/etalab-to-ckan,Tools to help migration of data.gouv.fr to CKAN,False,2013-08-27T10:38:19Z,2018-04-13T11:19:58Z,,0,0,GNU Affero General Public License v3.0,0,Python,
ckan-toolbox,etalab,GitHub,https://github.com/etalab/ckan-toolbox,Various modules that handle CKAN API and data,False,2013-08-30T11:14:32Z,2018-04-13T11:16:42Z,,0,0,GNU Affero General Public License v3.0,0,Python,
etalab-ckan-harvesters,etalab,GitHub,https://github.com/etalab/etalab-ckan-harvesters,Harvesters for Etalab CKAN,False,2013-08-30T14:11:55Z,2018-04-13T11:15:48Z,,5,1,GNU Affero General Public License v3.0,0,Python,
mediawiki-etalab-skin,etalab,GitHub,https://github.com/etalab/mediawiki-etalab-skin,MediaWiki skin for ETALAB,False,2013-09-05T15:38:02Z,2018-04-13T11:14:13Z,,0,1,GNU Affero General Public License v3.0,0,CSS,
askbot-etalab-skin,etalab,GitHub,https://github.com/etalab/askbot-etalab-skin,Askbot skin for ETALAB,False,2013-09-05T15:46:38Z,2018-04-13T11:20:31Z,,0,1,GNU Affero General Public License v3.0,0,JavaScript,
etalab-assets,etalab,GitHub,https://github.com/etalab/etalab-assets,ETALAB common assets,False,2013-09-11T07:57:19Z,2018-04-13T11:17:04Z,,2,0,GNU Affero General Public License v3.0,4,CSS,
etalab-ckan-scripts,etalab,GitHub,https://github.com/etalab/etalab-ckan-scripts,Various scripts that handle Etalab datasets in CKAN repository,False,2013-09-11T18:53:15Z,2018-04-13T11:14:33Z,,0,2,GNU Affero General Public License v3.0,0,Python,
ckan-of-worms,etalab,GitHub,https://github.com/etalab/ckan-of-worms,A logger for errors found in CKAN datasets,False,2013-09-26T21:49:48Z,2018-04-13T11:17:55Z,,0,0,GNU Affero General Public License v3.0,0,Python,
ckanext-fedmsg,etalab,GitHub,https://github.com/etalab/ckanext-fedmsg,CKAN extension for sending activity events to the Fedora Infrastructure Message Bus (fedmsg),False,2013-09-29T08:10:45Z,2018-04-13T11:20:51Z,,4,0,GNU Affero General Public License v3.0,1,Python,
cowbots,etalab,GitHub,https://github.com/etalab/cowbots,Error detection bots for Ckan-of-Worms,False,2013-10-02T06:45:05Z,2018-04-13T11:15:06Z,,0,0,GNU Affero General Public License v3.0,0,Python,
youckan,etalab,GitHub,https://github.com/etalab/youckan,Django-based SSO,False,2013-10-16T15:03:00Z,2018-04-13T11:13:57Z,,9,4,,1,Python,
etalab-assets-demo-images,etalab,GitHub,https://github.com/etalab/etalab-assets-demo-images,Etalab assets demo only images,False,2013-10-24T16:24:18Z,2018-04-13T11:20:14Z,,0,0,,0,,
Data-Fundamentals,etalab,GitHub,https://github.com/etalab/Data-Fundamentals,,True,2013-10-28T19:13:56Z,2018-11-26T21:47:24Z,,0,0,,0,,
ckanext-oauth2,etalab,GitHub,https://github.com/etalab/ckanext-oauth2,OAuth2 support for CKAN,False,2013-11-04T11:11:12Z,2018-04-13T11:15:25Z,,2,1,,1,Python,
ckanext-youckan,etalab,GitHub,https://github.com/etalab/ckanext-youckan,YouCKAN connector for CKAN,False,2013-11-04T11:13:32Z,2018-04-13T11:16:23Z,,0,1,,1,Python,
dactylo,etalab,GitHub,https://github.com/etalab/dactylo,A datasets activity streams logger,False,2013-11-05T08:20:26Z,2018-04-13T11:18:12Z,,0,1,GNU Affero General Public License v3.0,0,Python,
etalab-support,etalab,GitHub,https://github.com/etalab/etalab-support,Etalab product support,False,2013-11-22T13:20:01Z,2018-09-03T09:36:14Z,,7,4,,0,,
landing-page,etalab,GitHub,https://github.com/etalab/landing-page,data.gouv.fr landing page,False,2013-12-16T15:07:59Z,2018-04-13T11:17:22Z,,0,0,Other,0,JavaScript,
cada,etalab,GitHub,https://github.com/etalab/cada,A simplistic interface to search and consult CADA advices,False,2014-04-14T13:41:10Z,2019-02-05T12:19:32Z,http://cada.data.gouv.fr,17,7,GNU Affero General Public License v3.0,3,CSS,"advice,api,cada,flask,france,opendata,search"
ckanext-sentry,etalab,GitHub,https://github.com/etalab/ckanext-sentry,Sentry support for CKAN,False,2014-04-22T13:49:57Z,2018-04-13T11:16:09Z,,1,4,,1,Python,
udata-gouvfr,etalab,GitHub,https://github.com/etalab/udata-gouvfr,Skin and customization for the French opendata portal based on uData.,False,2014-04-25T09:58:14Z,2019-03-27T16:37:52Z,https://www.data.gouv.fr/fr/,18,31,,14,HTML,"opendata,python,udata,udata-gouvfr"
ban-geocode,etalab,GitHub,https://github.com/etalab/ban-geocode,BAN in Elasticsearch,False,2014-09-15T16:14:23Z,2018-09-18T13:48:26Z,,5,2,,6,Python,
