nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
amalia.js,ina-foss,GitHub,https://github.com/ina-foss/amalia.js,Metadata enriched HTML5 video player,False,2014-12-16T15:10:45Z,2019-03-05T09:11:17Z,http://ina-foss.github.io/amalia.js,147,28,,0,JavaScript,
ID-Fits,ina-foss,GitHub,https://github.com/ina-foss/ID-Fits,,False,2015-01-15T16:00:49Z,2018-01-10T14:57:23Z,,7,3,GNU Lesser General Public License v3.0,1,XML,
amalia-model,ina-foss,GitHub,https://github.com/ina-foss/amalia-model,Java implementation of the metadata model behind amalia.js,False,2015-01-29T21:11:13Z,2017-08-01T19:08:44Z,http://ina-foss.github.io/amalia.js/,3,2,GNU Lesser General Public License v3.0,0,Java,
amalia-tools,ina-foss,GitHub,https://github.com/ina-foss/amalia-tools,Some tools to generate video metadatas using amalia-model ,False,2015-09-01T10:27:49Z,2016-06-20T11:46:00Z,,2,0,GNU General Public License v3.0,0,Java,
nginx-video-thumbextractor-module,ina-foss,GitHub,https://github.com/ina-foss/nginx-video-thumbextractor-module,Nginx module to extract thumbs from a video file,True,2015-10-23T09:33:41Z,2018-12-26T17:12:50Z,,1,0,Other,0,C,
amalia-php,ina-foss,GitHub,https://github.com/ina-foss/amalia-php,PHP implementation of the metadata model behind amalia.js,False,2015-12-17T08:31:41Z,2016-03-23T14:34:18Z,,0,0,,0,PHP,
afp-api-client,ina-foss,GitHub,https://github.com/ina-foss/afp-api-client,Java client library to access AFP API,False,2017-12-13T15:12:24Z,2018-09-10T08:45:23Z,,1,0,GNU Lesser General Public License v3.0,0,Java,
inaSpeechSegmenter,ina-foss,GitHub,https://github.com/ina-foss/inaSpeechSegmenter,"CNN-based audio segmentation toolkit. Allows to detect speech, music and speaker gender. Has been designed for large scale gender equality studies based on speech time per gender.",False,2018-03-12T16:47:17Z,2019-03-04T11:25:25Z,,95,22,MIT License,2,Jupyter Notebook,"audio-analysis,gender-classification,gender-equality,mirex,music,music-detection,speaker-gender,speech,speech-detection,speech-music,speech-segmentation,voice-activity-detection"
voxo-lib,ina-foss,GitHub,https://github.com/ina-foss/voxo-lib,,True,2018-11-05T08:27:03Z,2018-11-05T08:27:05Z,,0,0,MIT License,0,Python,
voxo-docker,ina-foss,GitHub,https://github.com/ina-foss/voxo-docker,,True,2018-11-05T08:27:23Z,2018-11-05T08:27:25Z,,0,0,MIT License,0,Python,
voxo-daemon,ina-foss,GitHub,https://github.com/ina-foss/voxo-daemon,,True,2018-11-05T08:27:44Z,2018-11-05T08:27:46Z,,0,0,MIT License,0,Perl,
voxo-dashboard,ina-foss,GitHub,https://github.com/ina-foss/voxo-dashboard,,True,2018-11-05T08:28:01Z,2018-11-05T08:28:04Z,,0,0,MIT License,0,JavaScript,
