nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
VisualSedimentation,INRIA,GitHub,https://github.com/INRIA/VisualSedimentation,"Visual sedimentation is a novel design metaphor that progressively generates and updates visualizations of streaming data, inspired by the process of physical sedimentation. This process is the result of objects falling due to gravity forces, that aggregate into compact layers over time. The process is well understood since our environment is shaped by sedimentation: mountains, hills or rivers are the visible result of this long process.",False,False,2012-12-03T13:06:48Z,2019-08-13T15:12:36Z,,232,54,,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/INRIA/VisualSedimentation/directory/
spoon,INRIA,GitHub,https://github.com/INRIA/spoon,"Spoon is a library to analyze, transform, rewrite, transpile Java source code (incl Java 9, 10, 11). It parses source files to build a well-designed AST with powerful analysis and transformation API. Made at Inria with :heart:, :beers: and :sparkles:.",False,False,2013-11-06T15:29:59Z,2019-08-17T08:32:07Z,http://spoon.gforge.inria.fr/,786,159,Other,101,Java,"abstract-syntax-tree,ast,code-analysis,code-generation,code-transformation,compile-time-reflection,inria,java,java-module,java10,java9,metaprogramming,parser,spoon,static-analysis",True,https://archive.softwareheritage.org/browse/origin/https://github.com/INRIA/spoon/directory/
osc,INRIA,GitHub,https://github.com/INRIA/osc,"Outil de suivi des Contrats / Outil de suivi des Budgets : Application Ruby On Rails permettant le Suivi des Contrats et des budgets correspondant dans le contexte d'une entité de recherche (EPST, Laboratoire, Université, etc.).",False,False,2013-12-17T09:50:45Z,2019-07-24T14:51:09Z,,2,2,GNU Affero General Public License v3.0,0,Ruby,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/INRIA/osc/directory/
atable,INRIA,GitHub,https://github.com/INRIA/atable,Making better ranking tables since 2014,False,False,2013-12-20T12:42:59Z,2018-07-30T22:40:28Z,charles.perin.free.fr/atable/,39,5,"BSD 3-Clause ""New"" or ""Revised"" License",2,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/INRIA/atable/directory/
frobel-open-gifts,INRIA,GitHub,https://github.com/INRIA/frobel-open-gifts,Frobel Open Gift is an open source version of the Friedrich Fröbel pedagogical material. This material is originally toy design to teach numeracy and math in Kindergarten. But they also could be used to study information visualization construction (we used it for this purpose). ,True,False,2014-06-05T12:42:21Z,2017-06-22T08:41:08Z,http://inria.github.io/frobel-open-gifts/,5,2,,1,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/INRIA/frobel-open-gifts/directory/
sparklificator,INRIA,GitHub,https://github.com/INRIA/sparklificator,,True,False,2014-06-26T08:13:11Z,2015-06-05T10:50:10Z,http://inria.github.io/sparklificator,12,0,MIT License,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/INRIA/sparklificator/directory/
Visualization-Literacy-101,INRIA,GitHub,https://github.com/INRIA/Visualization-Literacy-101,"Visualization Literacy 101 is an initial attempt at designing calibrated visualization literacy tests for line graphs, bar charts, and scatterplots.",False,False,2014-06-26T16:52:17Z,2016-04-09T21:12:59Z,,2,0,,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/INRIA/Visualization-Literacy-101/directory/
intertrace,INRIA,GitHub,https://github.com/INRIA/intertrace,Interaction Trace Logger and Browser,False,False,2015-04-13T19:56:07Z,2017-11-24T11:04:39Z,,1,2,MIT License,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/INRIA/intertrace/directory/
libpointing,INRIA,GitHub,https://github.com/INRIA/libpointing,An open-source cross-platform library to get raw events from pointing devices and master transfer functions.,False,False,2016-03-11T10:00:49Z,2019-07-25T06:17:43Z,,27,8,Other,6,C++,"pointing-device,raw-input,subpixel,transfer-functions",True,https://archive.softwareheritage.org/browse/origin/https://github.com/INRIA/libpointing/directory/
IFIPSpecifications,INRIA,GitHub,https://github.com/INRIA/IFIPSpecifications, Specifications for the HAL-based IFIP library ,False,False,2016-04-19T15:17:58Z,2018-11-15T15:12:15Z,,1,0,,1,XSLT,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/INRIA/IFIPSpecifications/directory/
