nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
ORM-M2,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/ORM-M2,"Librairie ORM en PHP, mapping d'une base de données relationnelle en base objet pour l'accès depuis vos applications. Version pour Mélanie2. Liste des API: ",False,2015-01-16T09:21:43Z,2019-03-06T17:14:40Z,http://messagerie-melanie2.github.io/ORM-M2/,5,1,GNU General Public License v3.0,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/ORM-M2/directory/
Roundcube-Plugin-Calendar,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugin-Calendar,Plugin Calendar Kolab packagé avec le module skin mobile et le driver ORM-M2,False,2015-01-16T10:40:11Z,2019-03-07T12:47:45Z,,5,2,GNU Affero General Public License v3.0,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugin-Calendar/directory/
Roundcube-Plugin-JQuery-Mobile,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugin-JQuery-Mobile,Jquery Mobile plugin for Roundcube. Used for mobile skin,False,2015-01-16T10:53:48Z,2019-06-13T00:52:37Z,,26,8,GNU General Public License v3.0,2,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugin-JQuery-Mobile/directory/
Roundcube-Plugin-Mobile,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugin-Mobile,Mobile plugin for Roundcube (used by Mobile skin),False,2015-01-16T12:27:54Z,2019-04-16T08:11:14Z,,34,14,GNU General Public License v3.0,20,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugin-Mobile/directory/
Roundcube-Skin-Melanie2-Larry-Mobile,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Skin-Melanie2-Larry-Mobile,Mobile Skin for Roundcube,False,2015-01-16T12:34:54Z,2019-06-13T00:53:00Z,,72,19,GNU General Public License v3.0,19,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Skin-Melanie2-Larry-Mobile/directory/
SabreDAVM2,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/SabreDAVM2,Serveur CalDAV SabreDAV avec backend ORM M2,False,2015-03-11T15:11:57Z,2019-05-22T15:11:44Z,,2,0,GNU General Public License v3.0,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/SabreDAVM2/directory/
Pegase,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Pegase,Application de sondage de type doodle,False,2015-03-11T15:24:09Z,2016-06-03T15:11:29Z,,2,0,GNU General Public License v3.0,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Pegase/directory/
Roundcube-Skin-Melanie2-Larry,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Skin-Melanie2-Larry,"Melanie2 Larry skin for Roundcube, based on Larry skin",False,2015-05-21T08:52:04Z,2019-03-06T13:06:08Z,,10,7,,0,CSS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Skin-Melanie2-Larry/directory/
Roundcube-Plugin-Melanie2-Larry,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugin-Melanie2-Larry,Roundcube plugin for Melanie2 Larry skin,False,2015-05-21T08:53:08Z,2016-03-15T09:48:31Z,,3,3,GNU Affero General Public License v3.0,1,CSS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugin-Melanie2-Larry/directory/
Roundcube-Plugins,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugins,Roundcube plugins customized for Melanie2,False,2015-05-21T08:54:08Z,2017-06-02T12:42:29Z,,2,2,GNU General Public License v3.0,1,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugins/directory/
ORM-MongoDB,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/ORM-MongoDB,"Simple, evolutive, flexible, configurable, light, pluginable, schemaless Object-(No-)Relationnal Mapping for MongoDB, NoSQL, SQL and LDAP",False,2015-10-19T08:54:46Z,2016-11-18T16:13:46Z,,0,0,GNU General Public License v3.0,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/ORM-MongoDB/directory/
Roundcube-Plugin-Remove-Attachments,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugin-Remove-Attachments,This plugin adds an option to remove attachments from a message. The original code is from Philip Weir.,True,2016-01-07T08:50:22Z,2016-01-07T08:50:23Z,,0,0,,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugin-Remove-Attachments/directory/
Roundcube-Plugin-Threecol-Layout,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugin-Threecol-Layout,Adds a user configurable option to place the preview pane below or on the right of the message list,True,2016-01-07T09:13:32Z,2016-04-13T10:39:00Z,http://www.tehinterweb.co.uk/roundcube/,1,1,,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugin-Threecol-Layout/directory/
Roundcube-Plugin-Infinite-Scroll,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugin-Infinite-Scroll,Remove navigation buttons for messages list pages and support infinite scroll instead,False,2016-01-08T14:42:01Z,2018-09-06T20:29:19Z,,6,2,,6,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugin-Infinite-Scroll/directory/
Roundcube-Plugin-Roundrive,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugin-Roundrive,Plugin based on kolab_file plugin to connect to a webdav server,False,2016-03-15T09:36:17Z,2017-12-20T10:30:44Z,,3,5,,7,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugin-Roundrive/directory/
Roundcube-Plugin-ownCloud,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugin-ownCloud,Display your ownCloud instance in Roundcube w/ auth,False,2016-03-15T15:15:25Z,2019-07-10T05:51:14Z,,6,4,,7,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugin-ownCloud/directory/
Roundcube-Plugin-Libcalendaring,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugin-Libcalendaring,Kolab Libcalendaring for Calendar plugin,False,2016-03-29T11:32:33Z,2019-02-12T13:24:21Z,,0,1,,1,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugin-Libcalendaring/directory/
Roundcube-Plugin-Roundpad,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugin-Roundpad,Manage your Etherpad and/or Ethercalc documents URL from Roundcube in a virtual file system.,False,2016-10-28T08:34:02Z,2017-02-22T20:46:18Z,,1,1,GNU Affero General Public License v3.0,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugin-Roundpad/directory/
Roundcube-Melanie2,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Melanie2,Dépôt pour la version packagé Mélanie2 de Roundcube,False,2017-04-25T13:45:03Z,2019-02-12T16:32:14Z,,0,2,GNU General Public License v3.0,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Melanie2/directory/
Roundcube-Plugins-Melanie2,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Plugins-Melanie2,Liste des plugins Roundcube spécifiques à Mélanie2,False,2017-04-26T09:53:19Z,2019-02-12T16:21:33Z,,0,2,,0,PHP,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Roundcube-Plugins-Melanie2/directory/
AioMDA,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/AioMDA,Message Delivery Agent with modules that can be activated separately,False,2017-05-19T08:17:51Z,2017-12-13T09:34:05Z,,1,0,GNU General Public License v3.0,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/AioMDA/directory/
PyOcfScripts,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/PyOcfScripts,Ocf scripts for pacemaker,False,2017-05-19T09:05:25Z,2017-05-19T09:17:32Z,,0,0,GNU General Public License v3.0,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/PyOcfScripts/directory/
Mon4ocf,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Mon4ocf,Scripts to interface with PyOcfScripts,False,2017-05-19T09:20:35Z,2017-05-19T09:22:08Z,,0,0,GNU General Public License v3.0,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/messagerie-melanie2/Mon4ocf/directory/
Roundcube-Mel,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Mel,This repository contains the Mél version of Roundcube,False,2019-05-16T12:50:38Z,2019-07-11T13:12:47Z,,0,0,GNU General Public License v3.0,0,PHP,,False,
Roundcube-plugins-Mel,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-plugins-Mel,This repository contains a list of plugins developed for Mél and from the community,False,2019-05-16T15:00:34Z,2019-07-18T13:46:44Z,,0,0,,0,PHP,,False,
Roundcube-Mel-deployment,messagerie-melanie2,GitHub,https://github.com/messagerie-melanie2/Roundcube-Mel-deployment,This repository is made to facilitate the deployment of a Roundcube Mel (with plugins and skins),False,2019-05-20T15:41:35Z,2019-05-27T16:03:06Z,,0,0,,0,Shell,,False,
