nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
WindowsAgent,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/WindowsAgent, OCS Inventory NG Agent for Windows,False,False,2015-06-01T13:10:03Z,2019-08-01T06:27:01Z,http://www.ocsinventory-ng.org/en/,74,46,Other,33,C++,"agent,deployment,inventory,ocs,ocs-deployment,ocs-inventory,windows",True,https://archive.softwareheritage.org/browse/origin/https://github.com/OCSInventory-NG/WindowsAgent/directory/
OCSInventory-Server,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/OCSInventory-Server, Communication server of OCS Inventory,False,False,2015-06-01T16:09:52Z,2019-08-07T08:59:08Z,http://www.ocsinventory-ng.org/en/,153,76,GNU General Public License v2.0,30,Perl,"assets,assets-management,inventory,ocs,ocs-deployment,ocs-inventory,perl,server",True,https://archive.softwareheritage.org/browse/origin/https://github.com/OCSInventory-NG/OCSInventory-Server/directory/
AndroidAgent,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/AndroidAgent,OCS Inventory NG Android Agent,False,False,2015-06-02T07:32:45Z,2019-06-17T14:55:30Z,http://www.ocsinventory-ng.org/en/,16,17,GNU General Public License v2.0,3,Java,"agent,android,deployment,inventory,ocs,ocs-deployment",True,https://archive.softwareheritage.org/browse/origin/https://github.com/OCSInventory-NG/AndroidAgent/directory/
OCSInventory-ocsreports,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/OCSInventory-ocsreports,Webconsole for OCS Inventory NG,False,False,2015-06-02T09:28:21Z,2019-08-06T08:39:35Z,http://www.ocsinventory-ng.org/en/,111,92,GNU General Public License v2.0,74,PHP,"assets,assets-management,deployment,inventory,ocs,ocs-deployment,ocs-inventory,open-source,web-interface",True,https://archive.softwareheritage.org/browse/origin/https://github.com/OCSInventory-NG/OCSInventory-ocsreports/directory/
Macosx-Packager,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Macosx-Packager,It creates custom installation package to be able to deploy OCS Inventory NG MacOSX silently using Apple Remote Desktop or scripts,False,False,2015-06-02T10:19:39Z,2019-01-07T09:23:09Z,,4,5,GNU General Public License v2.0,1,Objective-C,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/OCSInventory-NG/Macosx-Packager/directory/
Agent-Deployment-Tool,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Agent-Deployment-Tool,Allows you to remote setup OCS Inventory NG agent on Windows and Unix/Linux/BSD computers,False,False,2015-06-02T10:23:45Z,2019-07-13T12:54:44Z,,4,7,GNU General Public License v3.0,2,C++,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/OCSInventory-NG/Agent-Deployment-Tool/directory/
Packager-for-Windows,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Packager-for-Windows,"The packager helps installing OCS Inventory NG Agent for Windows (or any windows application). It create an executable package including multiple files to install, and is able to run the installation process under the specified account having Administrative privileges.",False,False,2015-06-02T12:20:13Z,2019-07-13T12:54:48Z,,7,4,Other,5,NSIS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/OCSInventory-NG/Packager-for-Windows/directory/
UnixAgent,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/UnixAgent,This is the OCS unified agent for Unix operating systems,False,False,2015-06-02T13:29:00Z,2019-08-01T09:35:17Z,http://www.ocsinventory-ng.org/en/,45,54,GNU General Public License v2.0,9,Perl,"agent,deployment,ocs,ocs-deployment,ocs-inventory,ocsinventory,unix",True,https://archive.softwareheritage.org/browse/origin/https://github.com/OCSInventory-NG/UnixAgent/directory/
Ansible-Role-For-UnixAgent,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Ansible-Role-For-UnixAgent,An Ansible role for installing ocsinventory-agent | Thx to @franlr for his amazing contribution !,True,False,2016-04-21T09:45:28Z,2016-11-17T11:32:41Z,,1,2,Apache License 2.0,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/OCSInventory-NG/Ansible-Role-For-UnixAgent/directory/
Wiki,OCSInventory-NG,GitHub,https://github.com/OCSInventory-NG/Wiki,Official repository for OCS Inventory documentaiton,False,False,2016-04-27T14:20:32Z,2019-08-06T09:08:23Z,https://wiki.ocsinventory-ng.org,14,17,GNU General Public License v2.0,4,,"documentation,installation,ocs-inventory,ocsinventory,wiki",True,https://archive.softwareheritage.org/browse/origin/https://github.com/OCSInventory-NG/Wiki/directory/
