nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
ines-libre,openfisca,GitLab,https://framagit.org/openfisca/ines-libre,Copie sur FramaGit du code source du modèlle Inès de l'INSEE et de la DREES disponible sur Adullact https://adullact.net/projects/ines-libre/,,False,2016-06-21T07:43:56Z,2016-07-11T07:59:24Z,,0,0,,0,,,False,
calculette-impots-javascript,openfisca,GitLab,https://framagit.org/openfisca/calculette-impots-javascript,Traduction en langage JavaScript du code source (en langage M) du calculateur des impôts sur le revenu et sur la fortune,,False,2016-04-02T07:52:57Z,2016-05-28T19:36:18Z,,0,0,,0,,,False,
calculette-impots-vector-computing,openfisca,GitLab,https://framagit.org/openfisca/calculette-impots-vector-computing,"Traduction en Python vectoriel (NumPy, etc) du code source (en langage M) du calculateur des impôts sur le revenu et sur la fortune",,False,2016-03-29T15:30:54Z,2016-05-18T16:19:28Z,,1,0,,0,,,False,
calculette-impots-web-explorer,openfisca,GitLab,https://framagit.org/openfisca/calculette-impots-web-explorer,Explorateur web des variables et formules du calculateur des impôts sur le revenu et sur la fortune,,False,2016-03-27T16:46:31Z,2016-08-09T16:18:59Z,,0,0,,0,,,False,
calculette-impots-hackathon,openfisca,GitLab,https://framagit.org/openfisca/calculette-impots-hackathon,Restitutions du hackathon #CodeImpot,,False,2016-03-24T17:34:07Z,2016-04-14T10:36:00Z,,1,0,,0,,,False,
calculette-impots-web-api,openfisca,GitLab,https://framagit.org/openfisca/calculette-impots-web-api,API web (écrite en Python) du calculateur des impôts sur le revenu et sur la fortune,,False,2016-03-23T16:49:02Z,2016-08-09T16:21:17Z,,1,0,,1,,,False,
calculette-impots-python,openfisca,GitLab,https://framagit.org/openfisca/calculette-impots-python,Traduction en langage Python du code source (en langage M) du calculateur des impôts sur le revenu et sur la fortune,,False,2016-02-16T14:42:16Z,2016-07-28T14:17:28Z,,1,0,,1,,,False,
calculette-impots-m-language-parser,openfisca,GitLab,https://framagit.org/openfisca/calculette-impots-m-language-parser,Traducteur en arbre syntaxique (AST) du code source (en langage M) du calculateur des impôts sur le revenu et sur la fortune,,False,2016-02-02T12:15:07Z,2016-08-03T13:43:35Z,,0,0,,0,,,False,
calculette-impots-m-source-code,openfisca,GitLab,https://framagit.org/openfisca/calculette-impots-m-source-code,Code source (en langage M) du calculateur des impôts sur le revenu et sur la fortune,,False,2016-02-01T12:44:02Z,2016-04-13T10:05:59Z,,0,0,,0,,,False,
french-income-taxes-test-cases,openfisca,GitLab,https://framagit.org/openfisca/french-income-taxes-test-cases,Test cases in YAML format generated by calling the official simulator for french income taxes : http://www3.finances.gouv.fr/cgi-bin/calc-2015.cgi,,False,2015-03-30T15:17:37Z,2015-03-30T19:03:58Z,,1,0,,0,,,False,
