nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
api_rva,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/api_rva,code source de l'api rva de Rennes Métropole,False,False,2016-03-03T22:32:57Z,2016-03-03T22:32:57Z,,0,0,,1,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/sigrennesmetropole/api_rva/directory/
addon_rva,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/addon_rva,Addon RVA pour mapfishapp - geOrchestra,False,False,2016-03-04T14:33:19Z,2016-11-24T10:59:40Z,http://rva.data.rennes-metropole.fr/,1,1,,1,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/sigrennesmetropole/addon_rva/directory/
addon_urbanisme,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/addon_urbanisme,Addon urbanisme pour le visualiseur de l'IDS geOrchestra,False,False,2016-04-29T13:27:17Z,2019-04-12T07:58:19Z,http://www.georchestra.org,1,6,GNU General Public License v3.0,4,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/sigrennesmetropole/addon_urbanisme/directory/
images,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/images,dépot d'images pour sites,False,False,2016-05-17T13:41:46Z,2016-05-17T13:43:39Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/sigrennesmetropole/images/directory/
rmtr,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/rmtr,module rmtr pour georchestra,False,False,2016-09-06T07:24:19Z,2017-06-14T14:02:56Z,,1,0,,4,JavaScript,,False,
photos_obliques,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/photos_obliques,dépot du module photo obliques pour geOrchestra,False,False,2016-09-19T14:02:59Z,2018-07-02T13:32:46Z,,2,2,GNU General Public License v3.0,9,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/sigrennesmetropole/photos_obliques/directory/
geoserver_sld,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/geoserver_sld,Styles appliqués sur les couches GeoServer,False,False,2016-12-13T08:49:36Z,2019-08-19T13:24:23Z,,1,0,GNU General Public License v3.0,0,Scheme,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/sigrennesmetropole/geoserver_sld/directory/
visualiseur,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/visualiseur,,False,False,2018-05-23T12:36:44Z,2019-05-18T12:00:19Z,,4,1,,63,,,False,
mviewerstudio,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/mviewerstudio,mviewer generator,True,False,2018-06-22T09:40:41Z,2018-06-22T11:25:12Z,,0,0,GNU General Public License v3.0,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/sigrennesmetropole/mviewerstudio/directory/
QgisCadastrePlugin,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/QgisCadastrePlugin,A QGIS plugin which helps users to import the french land registry ('cadastre') data into a database. It is meant to ease the use of the data in QGIS by providing search tools and appropriate layer symbology.,True,False,2019-03-13T13:36:33Z,2019-08-19T09:55:34Z,,0,0,,0,QML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/sigrennesmetropole/QgisCadastrePlugin/directory/
cadastrapp,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/cadastrapp,Cadastre application for geOrchestra,True,False,2019-04-05T14:23:34Z,2019-05-13T11:11:01Z,,0,0,GNU General Public License v3.0,0,Java,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/sigrennesmetropole/cadastrapp/directory/
sviewer_generator,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/sviewer_generator,générateur de sviewer,False,False,2019-04-26T13:20:23Z,2019-07-11T12:41:43Z,,2,0,GNU General Public License v3.0,0,CSS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/sigrennesmetropole/sviewer_generator/directory/
sviewer,sigrennesmetropole,GitHub,https://github.com/sigrennesmetropole/sviewer,sviewer is a very simple web map viewer working with the geOrchestra SDI,True,False,2019-05-07T12:45:06Z,2019-05-07T12:45:10Z,,0,0,GNU General Public License v3.0,0,JavaScript,,False,
