nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
impots.gouv,SocieteNumerique,GitHub,https://github.com/SocieteNumerique/impots.gouv,Maquette des démarches en ligne des usagers particuliers,False,False,2017-08-24T17:59:40Z,2019-02-26T10:41:59Z,https://impots.societenumerique.gouv.fr,0,0,Other,0,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocieteNumerique/impots.gouv/directory/
CivicTechFest,SocieteNumerique,GitHub,https://github.com/SocieteNumerique/CivicTechFest,TicTec@Tapei related documents,False,False,2017-09-12T01:59:51Z,2017-09-12T01:59:51Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocieteNumerique/CivicTechFest/directory/
Site-Mission-Societe-Numerique,SocieteNumerique,GitHub,https://github.com/SocieteNumerique/Site-Mission-Societe-Numerique,L'ancien site internet de la Mission Société Numérique,False,False,2017-09-29T15:59:57Z,2018-04-11T16:41:26Z,,0,0,,0,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocieteNumerique/Site-Mission-Societe-Numerique/directory/
casper,SocieteNumerique,GitHub,https://github.com/SocieteNumerique/casper,Thème de blog pour Ghost traduit en français,False,False,2017-11-21T00:29:12Z,2018-10-24T16:22:18Z,,0,1,MIT License,0,CSS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocieteNumerique/casper/directory/
societenumerique.github.io-old,SocieteNumerique,GitHub,https://github.com/SocieteNumerique/societenumerique.github.io-old,,False,False,2018-01-10T15:52:56Z,2018-04-12T10:13:48Z,,0,1,,0,JavaScript,,False,
societenumerique.github.io,SocieteNumerique,GitHub,https://github.com/SocieteNumerique/societenumerique.github.io,,True,False,2018-04-12T10:14:25Z,2019-05-27T15:36:53Z,https://inclusion.societenumerique.gouv.fr,2,2,,2,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocieteNumerique/societenumerique.github.io/directory/
kit,SocieteNumerique,GitHub,https://github.com/SocieteNumerique/kit,,False,False,2018-04-24T09:29:44Z,2019-06-13T15:58:43Z,,0,0,,2,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocieteNumerique/kit/directory/
rapport-inclusion,SocieteNumerique,GitHub,https://github.com/SocieteNumerique/rapport-inclusion,:books: Rapport de la stratégie nationale pour un numérique inclusif,True,False,2018-05-21T18:04:46Z,2019-05-09T02:45:22Z,https://rapport-inclusion.societenumerique.gouv.fr,1,0,Other,0,CSS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocieteNumerique/rapport-inclusion/directory/
tutoriel,SocieteNumerique,GitHub,https://github.com/SocieteNumerique/tutoriel,Tutoriel - Construire un commun numérique,True,False,2018-12-11T15:27:50Z,2018-12-23T13:30:02Z,https://societenumerique.github.io/tutoriel,2,1,Other,0,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocieteNumerique/tutoriel/directory/
pass-numerique,SocieteNumerique,GitHub,https://github.com/SocieteNumerique/pass-numerique,Simulateur de cofinancement du Pass Numérique,False,False,2019-03-18T14:03:38Z,2019-07-23T13:53:11Z,https://societenumerique.gouv.fr/archive-pass/,0,1,Other,0,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocieteNumerique/pass-numerique/directory/
carto-sonum,SocieteNumerique,GitHub,https://github.com/SocieteNumerique/carto-sonum,"éléments (textes, logos, typos, documentation, data...) spécifiques au projet de carto SoNum",True,False,2019-04-05T06:27:13Z,2019-04-05T06:27:17Z,,0,0,,0,Jupyter Notebook,,False,
