nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
wookey-project.github.io,wookey-project,GitHub,https://github.com/wookey-project/wookey-project.github.io,The wookey-project documentation,False,2018-09-25T10:12:41Z,2018-11-06T10:51:16Z,,0,0,,1,HTML,
manifest,wookey-project,GitHub,https://github.com/wookey-project/manifest,"The WooKey project manifest repository, use repo init -u https://github.com/wookey-project/manifest.git",False,2018-09-25T21:15:47Z,2019-04-06T13:10:14Z,https://wookey-project.github.io/,2,0,,0,,
tataouine,wookey-project,GitHub,https://github.com/wookey-project/tataouine,Wookey SDK,False,2018-09-25T23:27:46Z,2018-12-19T11:58:09Z,https://wookey-project.github.io,0,0,"BSD 3-Clause ""New"" or ""Revised"" License",1,Perl,
bootloader,wookey-project,GitHub,https://github.com/wookey-project/bootloader,Wookey bootloader,False,2018-09-25T23:27:53Z,2018-09-25T23:27:59Z,https://wookey-project.github.io,0,0,"BSD 3-Clause ""New"" or ""Revised"" License",0,C,
libstd,wookey-project,GitHub,https://github.com/wookey-project/libstd,EwoK Standard library,False,2018-09-25T23:28:05Z,2018-11-06T09:57:48Z,https://wookey-project.github.io,0,0,,0,C,
board-32f407disco,wookey-project,GitHub,https://github.com/wookey-project/board-32f407disco,STM32F407 Discovery board configurations,False,2018-09-25T23:28:12Z,2018-09-25T23:28:17Z,https://wookey-project.github.io,0,0,,0,,
app-sample-button,wookey-project,GitHub,https://github.com/wookey-project/app-sample-button,Sample button application,False,2018-09-25T23:28:17Z,2018-11-06T10:11:03Z,https://wookey-project.github.io,0,0,,0,C,
app-sample-leds,wookey-project,GitHub,https://github.com/wookey-project/app-sample-leds,Sample led application,False,2018-09-25T23:28:22Z,2018-09-25T23:28:28Z,https://wookey-project.github.io,0,0,,0,C,
layout-stm32f407,wookey-project,GitHub,https://github.com/wookey-project/layout-stm32f407,STM32F407 Discovery memory layout,False,2018-09-25T23:28:27Z,2018-09-25T23:28:34Z,https://wookey-project.github.io,0,0,,0,,
libconsole,wookey-project,GitHub,https://github.com/wookey-project/libconsole,userspace console abstraction based on USART driver,False,2018-09-25T23:28:33Z,2018-09-25T23:28:39Z,https://wookey-project.github.io,0,0,,0,C,
driver-stm32f4xx-usart,wookey-project,GitHub,https://github.com/wookey-project/driver-stm32f4xx-usart,USART driver for STM32F4xx SoC,False,2018-09-25T23:28:38Z,2018-09-25T23:28:44Z,https://wookey-project.github.io,0,0,,0,C,
app-sample-blinky,wookey-project,GitHub,https://github.com/wookey-project/app-sample-blinky,Blinky sample application,False,2018-09-25T23:28:44Z,2018-11-06T10:08:56Z,https://wookey-project.github.io,0,0,,0,C,
ewok-kernel,wookey-project,GitHub,https://github.com/wookey-project/ewok-kernel,EwoK micro-kernel repository,False,2018-09-25T23:28:49Z,2019-04-21T14:01:23Z,https://wookey-project.github.io,23,2,Apache License 2.0,1,C,"ada,embedded,ewok-kernel,microcontroller,microcontroller-firmware,microkernel,security,spark"
perms-matrix-disco407-samples,wookey-project,GitHub,https://github.com/wookey-project/perms-matrix-disco407-samples,Application permissions matrix for various profiles,False,2018-09-25T23:40:12Z,2018-09-25T23:40:18Z,https://wookey-project.github.io,0,0,,0,,
wookeypedia,wookey-project,GitHub,https://github.com/wookey-project/wookeypedia,The Wookey Project and EwoK kernel documentation repository,False,2018-09-28T14:30:55Z,2018-11-06T10:24:26Z,,0,0,,0,HTML,
